VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.544068316,      0.6976417155,      0.9582030788,       3.915559887
          0,           0,           1,      -2.005428794,      0.3699831058,      0.5463162023,       3.469598275
          0,           0,           2,      -2.255314789,      0.1518788248,      0.2975039047,       3.224129822
          0,           0,           3,      -2.418313497,   -0.005302965793,      0.1047178604,       3.061272219
          0,           0,           4,      -2.580884702,     -0.1406038398,    -0.07254065649,       2.898225736
          0,           0,           5,      -2.742062107,     -0.2695304778,     -0.2392560981,       2.735736774
          0,           0,           6,      -2.893712109,     -0.3912007188,     -0.3987845884,        2.58256175
          0,           0,           7,      -3.041196565,      -0.506711602,     -0.5569054633,       2.433883935
          0,           0,           8,      -3.188639255,     -0.6119532646,     -0.7132915263,       2.285725009
          0,           0,           9,      -3.335058365,     -0.7052946763,     -0.8646925718,       2.138911292
          0,           0,          10,      -3.477407936,      -0.789500857,      -1.009480552,       1.996359947
          0,           0,          11,      -3.613428971,     -0.8656276868,       -1.14909053,       1.860254661
          0,           0,          12,      -3.741779907,     -0.9324203944,      -1.282541021,       1.731837395
          0,           0,          13,      -3.860139189,     -0.9904763887,      -1.405985343,        1.61353678
          0,           0,          14,      -3.966914519,      -1.042338402,      -1.518358458,       1.507065156
          0,           0,          15,      -4.061312509,      -1.090131264,      -1.622404334,       1.413046807
          0,           0,          16,      -4.142650772,      -1.134792237,      -1.719771927,       1.332161729
          0,           0,          17,      -4.213168635,      -1.176619727,      -1.808797577,       1.262614266
          0,           0,          18,      -4.276925841,      -1.215924601,      -1.887005359,       1.200555789
          0,           0,          19,      -4.336288365,      -1.253349243,      -1.954550427,       1.143223747
          0,           0,          20,      -4.391610927,      -1.289782007,      -2.014599806,       1.089608286
          0,           0,          21,      -4.442588836,      -1.325989352,      -2.070964022,       1.039569592
          0,           0,          22,       -4.48921739,       -1.36233073,      -2.125698127,       0.993163751
          0,           0,          23,      -4.532295468,      -1.398743759,      -2.178764076,       0.950078082
          0,           0,          24,       -4.57328926,      -1.434944828,      -2.229314612,      0.9093935121
          0,           0,          25,      -4.613582647,      -1.470654683,      -2.277062414,      0.8699809889
          0,           0,          26,      -4.653878892,      -1.505723173,      -2.322596857,      0.8310428492
          0,           0,          27,      -4.694168587,      -1.540135976,      -2.366834138,      0.7923210222
          0,           0,          28,      -4.734072431,      -1.573951462,      -2.410440117,      0.7539543232
          0,           0,          29,      -4.773171956,      -1.607220724,      -2.453631485,      0.7162498823
          0,           0,          30,      -4.811171619,      -1.639931259,      -2.496313343,      0.6795203552
          0,           0,          31,      -4.847907158,      -1.671986441,      -2.538313329,       0.644016371
          0,           0,          32,      -4.883288647,       -1.70322613,      -2.579507312,      0.6099075626
          0,           0,          33,      -4.917238326,      -1.733470736,      -2.619807354,      0.5772931284
          0,           0,          34,      -4.949660475,      -1.762571283,      -2.659056222,       0.546218142
          0,           0,          35,      -4.980458415,      -1.790445457,      -2.696939022,      0.5166832282
          0,           0,          36,      -5.009581351,      -1.817088346,      -2.732998776,      0.4886426307
          0,           0,          37,      -5.037057365,      -1.842563967,      -2.766752452,      0.4620057261
          0,           0,          38,      -5.062997361,      -1.866979462,      -2.797860141,       0.436649825
          0,           0,          39,      -5.087570306,      -1.890457079,      -2.826247187,       0.412439406
          0,           0,          40,      -5.110972618,       -1.91311327,      -2.852126693,      0.3892383981
          0,           0,          41,      -5.133399084,      -1.935046761,      -2.875921611,      0.3669192867
          0,           0,          42,      -5.155027409,      -1.956335084,      -2.898144719,      0.3453634174
          0,           0,          43,      -5.176009247,      -1.977038602,      -2.919294722,      0.3244625067
          0,           0,          44,      -5.196466357,      -1.997207276,      -2.939799204,      0.3041202208
          0,           0,          45,       -5.21649181,      -2.016887242,      -2.959985135,      0.2842541069
          0,           0,          46,      -5.236154735,      -2.036125808,      -2.980075271,      0.2647959691
          0,           0,          47,      -5.255510232,      -2.054973618,      -3.000193679,      0.2456883954
          0,           0,          48,      -5.274606959,      -2.073485256,      -3.020383144,      0.2268808281
          0,           0,          49,      -5.293491787,      -2.091717935,      -3.040621377,      0.2083268772
          0,           0,          50,      -5.312211583,      -2.109729741,      -3.060854082,      0.1899819004
          0,           0,          51,      -5.330814022,       -2.12757743,      -3.081007704,      0.1718014242
          0,           0,          52,      -5.349346916,      -2.145315017,      -3.101012102,      0.1537406797
          0,           0,          53,      -5.367856375,      -2.162992557,      -3.120812209,      0.1357552918
          0,           0,          54,      -5.386384536,      -2.180655173,      -3.140377917,      0.1178026548
          0,           0,          55,      -5.404969562,      -2.198343449,      -3.159695947,      0.0998424374
          0,           0,          56,      -5.423642468,      -2.216092182,      -3.178776356,       0.081839227
          0,           0,          57,      -5.442431551,      -2.233931712,      -3.197652631,     0.06376017263
          0,           0,          58,      -5.461358113,       -2.25188748,      -3.216363109,     0.04557838419
          0,           0,          59,      -5.480440348,      -2.269980718,       -3.23495189,     0.02727013839
          0,           0,          60,      -5.499692846,      -2.288228698,      -3.253466277,    0.008815639988
          0,           0,          61,      -5.519126877,      -2.306645033,      -3.271952441,   -0.009801383275
          0,           0,          62,      -5.538749547,      -2.325239967,      -3.290452658,    -0.02859226492
          0,           0,          63,      -5.558564445,      -2.344021203,      -3.309007922,    -0.04756428004
          0,           0,          64,      -5.578576667,      -2.362994154,      -3.327654662,     -0.0667251388
          0,           0,          65,      -5.598790261,       -2.38216221,      -3.346425138,    -0.08608066605
          0,           0,          66,      -5.619204561,      -2.401526879,      -3.365345235,     -0.1056320005
          0,           0,          67,      -5.639819088,      -2.421088537,      -3.384435957,     -0.1253797994
          0,           0,          68,      -5.660633047,      -2.440846489,      -3.403713837,     -0.1453238745
          0,           0,          69,      -5.681645377,      -2.460799096,      -3.423190597,     -0.1654633316
          0,           0,          70,      -5.702853521,       -2.48094398,      -3.442877739,     -0.1857956526
          0,           0,          71,      -5.724254838,      -2.501278229,      -3.462780944,     -0.2063178119
          0,           0,          72,      -5.745847143,      -2.521798658,      -3.482902309,     -0.2270270487
          0,           0,          73,      -5.767627722,      -2.542501821,      -3.503243718,     -0.2479199593
          0,           0,          74,      -5.789593679,      -2.563384106,      -3.523803891,     -0.2689928987
          0,           0,          75,      -5.811740455,      -2.584441677,      -3.544581792,     -0.2902408825
          0,           0,          76,      -5.834065633,      -2.605671061,      -3.565568793,     -0.3116606798
          0,           0,          77,      -5.856566558,      -2.627068873,      -3.586759915,     -0.3332487173
          0,           0,          78,      -5.879239469,      -2.648631461,      -3.608152926,     -0.3550006439
          0,           0,          79,        -5.9020814,        -2.6703552,      -3.629743537,     -0.3769129744
          0,           0,          80,      -5.925089032,      -2.692236644,      -3.651524559,     -0.3989820774
          0,           0,          81,       -5.94825791,      -2.714272487,      -3.673491145,     -0.4212033995
          0,           0,          82,      -5.971585094,       -2.73645973,       -3.69563545,     -0.4435738592
          0,           0,          83,      -5.995069854,      -2.758795517,      -3.717952178,     -0.4660920686
          0,           0,          84,      -6.018706856,      -2.781276865,      -3.740436643,     -0.4887530432
          0,           0,          85,      -6.042491677,      -2.803900897,      -3.763084059,     -0.5115526973
          0,           0,          86,      -6.066421491,       -2.82666493,      -3.785887782,     -0.5344882966
          0,           0,          87,      -6.090493197,       -2.84956657,       -3.80884225,     -0.5575570066
          0,           0,          88,      -6.114704078,      -2.872603426,      -3.831943028,     -0.5807563001
          0,           0,          89,      -6.139051975,      -2.895773342,      -3.855187135,     -0.6040842834
          0,           0,          90,      -6.163535148,      -2.919074217,        -3.8785699,     -0.6275393033
          0,           0,          91,      -6.188150872,      -2.942503947,      -3.902088019,     -0.6511189488
          0,           0,          92,      -6.212896503,      -2.966060569,      -3.925738085,     -0.6748209406
          0,           0,          93,      -6.237770202,      -2.989742222,      -3.949517076,     -0.6986436797
          0,           0,          94,      -6.262769674,      -3.013547187,      -3.973421867,     -0.7225852308
          0,           0,          95,      -6.287892751,      -3.037473809,      -3.997449468,     -0.7466438116
          0,           0,          96,      -6.313137422,      -3.061520489,      -4.021597557,     -0.7708177457
          0,           0,          97,       -6.33850117,      -3.085685712,      -4.045862683,     -0.7951050218
          0,           0,          98,      -6.363983454,      -3.109968243,      -4.070243551,     -0.8195051864
          0,           0,          99,      -6.389582114,      -3.134366588,      -4.094738941,     -0.8440165843
          0,           0,         100,      -6.415295382,       -3.15887939,      -4.119346137,     -0.8686377915
          0,           0,         101,      -6.441121163,      -3.183505337,      -4.144063926,     -0.8933671616
          0,           0,         102,      -6.467057584,      -3.208243209,       -4.16888793,     -0.9182032354
          0,           0,         103,      -6.493104857,       -3.23309199,      -4.193817241,     -0.9431461823
          0,           0,         104,      -6.519261882,      -3.258050592,      -4.218851936,     -0.9681951232
          0,           0,         105,      -6.545526988,      -3.283117941,      -4.243991157,     -0.9933487859
          0,           0,         106,      -6.571898146,      -3.308293057,      -4.269233331,      -1.018605646
          0,           0,         107,      -6.598374446,      -3.333574906,      -4.294577234,      -1.043965001
          0,           0,         108,      -6.624954733,       -3.35896257,      -4.320021329,      -1.069426005
          0,           0,         109,      -6.651637806,      -3.384455157,      -4.345564384,      -1.094987769
          0,           0,         110,        -6.6784227,      -3.410051758,      -4.371205109,      -1.120649563
          0,           0,         111,      -6.705307807,      -3.435751629,      -4.396942423,      -1.146410208
          0,           0,         112,      -6.732292506,      -3.461554008,       -4.42277514,      -1.172269287
          0,           0,         113,       -6.75937605,      -3.487458111,      -4.448702598,      -1.198226244
          0,           0,         114,      -6.786557391,      -3.513463199,      -4.474723604,      -1.224280303
          0,           0,         115,      -6.813835693,      -3.539568503,      -4.500838987,      -1.250430872
          0,           0,         116,      -6.841210028,      -3.565773321,      -4.527047457,       -1.27667732
          0,           0,         117,      -6.868679429,      -3.592076965,      -4.553347593,       -1.30301898
          0,           0,         118,      -6.896242969,       -3.61847875,      -4.579738558,      -1.329455219
          0,           0,         119,      -6.923899718,      -3.644977984,      -4.606219581,      -1.355985328
          0,           0,         120,      -6.951648824,         -3.671574,      -4.632790072,      -1.382608788
          0,           0,         121,      -6.979489278,       -3.69826614,      -4.659449761,      -1.409324876
          0,           0,         122,      -7.007420096,      -3.725053768,       -4.68619787,      -1.436132887
          0,           0,         123,       -7.03544045,      -3.751936261,      -4.713033534,       -1.46303225
          0,           0,         124,      -7.063549586,      -3.778913009,      -4.739956067,       -1.49002245
          0,           0,         125,      -7.091746729,       -3.80598341,      -4.766964889,      -1.517102959
          0,           0,         126,      -7.120031062,      -3.833146863,      -4.794059436,      -1.544273219
          0,           0,         127,      -7.148401769,      -3.860402774,      -4.821239129,      -1.571532674
          0,           0,         128,      -7.176858043,      -3.887750553,       -4.84850338,      -1.598880772
          0,           0,         129,      -7.205399099,      -3.915189618,      -4.875851616,      -1.626316975
          0,           0,         130,      -7.234024161,      -3.942719388,      -4.903283277,       -1.65384075
          0,           0,         131,      -7.262732457,      -3.970339288,      -4.930797822,      -1.681451566
          0,           0,         132,      -7.291523214,      -3.998048746,      -4.958394725,      -1.709148892
          0,           0,         133,      -7.320395663,      -4.025847189,      -4.986073469,      -1.736932195
          0,           0,         134,      -7.349348832,      -4.053734039,      -5.013835488,      -1.764800802
          0,           0,         135,      -7.378381924,      -4.081708725,      -5.041678537,      -1.792754149
          0,           0,         136,      -7.407494594,      -4.109770708,       -5.06960095,      -1.820792007
          0,           0,         137,       -7.43668617,      -4.137919419,      -5.097602701,      -1.848913905
          0,           0,         138,      -7.465955673,      -4.166154269,      -5.125683467,      -1.877119144
          0,           0,         139,      -7.495302247,      -4.194474681,      -5.153842733,      -1.905407123
          0,           0,         140,      -7.524725148,      -4.222880089,      -5.182080065,      -1.933777323
          0,           0,         141,      -7.554223647,      -4.251369925,      -5.210395118,      -1.962229235
          0,           0,         142,      -7.583796999,      -4.279943617,      -5.238787535,      -1.990762331
          0,           0,         143,      -7.613444455,      -4.308600588,        -5.2672569,      -2.019376071
          0,           0,         144,      -7.643165252,      -4.337340102,      -5.295803476,      -2.048069807
          0,           0,         145,      -7.672958904,      -4.366161785,      -5.324426041,      -2.076843243
          0,           0,         146,      -7.702824622,      -4.395065119,      -5.353123796,       -2.10569588
          0,           0,         147,      -7.732761463,      -4.424049469,      -5.381896372,      -2.134627021
          0,           0,         148,      -7.762768595,      -4.453114216,      -5.410743334,      -2.163636024
          0,           0,         149,      -7.792845257,       -4.48225876,      -5.439664202,      -2.192722315
          0,           0,         150,      -7.822990714,      -4.511482512,      -5.468658495,      -2.221885348
          0,           0,         151,       -7.85320422,      -4.540784881,      -5.497725751,      -2.251124579
          0,           0,         152,      -7.883485036,      -4.570165271,      -5.526865521,      -2.280439457
          0,           0,         153,      -7.913832416,      -4.599623079,       -5.55607735,      -2.309829419
          0,           0,         154,      -7.944245612,      -4.629157698,      -5.585360777,      -2.339293896
          0,           0,         155,      -7.974723868,      -4.658768515,      -5.614715324,      -2.368832306
          0,           0,         156,      -8.005266415,      -4.688454913,      -5.644140507,       -2.39844406
          0,           0,         157,      -8.035872492,      -4.718216274,      -5.673635834,      -2.428128571
          0,           0,         158,      -8.066541332,      -4.748051973,      -5.703200811,      -2.457885243
          0,           0,         159,      -8.097272171,      -4.777961386,      -5.732834936,      -2.487713484
          0,           0,         160,      -8.128064239,      -4.807943883,      -5.762537709,      -2.517612693
          0,           0,         161,      -8.158916768,      -4.837998833,      -5.792308618,      -2.547582265
          0,           0,         162,       -8.18982899,      -4.868125601,      -5.822147167,      -2.577621598
          0,           0,         163,      -8.220800137,       -4.89832355,      -5.852052835,      -2.607730081
          0,           0,         164,      -8.251828586,       -4.92859244,      -5.882022422,      -2.637906413
          0,           0,         165,      -8.282914771,      -4.958931409,      -5.912058028,      -2.668151028
          0,           0,         166,      -8.314058204,      -4.989339665,      -5.942160072,      -2.698463515
          0,           0,         167,      -8.345257783,      -5.019816519,      -5.972327803,       -2.72884295
          0,           0,         168,      -8.376512502,      -5.050361298,      -6.002560568,      -2.759288486
          0,           0,         169,      -8.407821473,      -5.080973337,      -6.032857779,      -2.789799387
          0,           0,         170,      -8.439183896,      -5.111651981,      -6.063218831,      -2.820374995
          0,           0,         171,      -8.470599024,      -5.142396577,      -6.093643125,      -2.851014693
          0,           0,         172,      -8.502066153,      -5.173206474,      -6.124130074,      -2.881717903
          0,           0,         173,       -8.53358458,      -5.204081015,      -6.154679138,      -2.912484033
          0,           0,         174,      -8.565153544,      -5.235019537,      -6.185289788,      -2.943312451
          0,           0,         175,      -8.596772318,      -5.266021371,      -6.215961485,      -2.974202526
          0,           0,         176,      -8.628440095,      -5.297085843,      -6.246693715,      -3.005153601
          0,           0,         177,      -8.660156105,      -5.328212275,      -6.277485942,      -3.036165019
          0,           0,         178,      -8.691919563,      -5.359399986,      -6.308337627,      -3.067236113
          0,           0,         179,      -8.723729707,      -5.390648292,      -6.339248251,      -3.098366232
          0,           0,         180,      -8.755585749,      -5.421956503,      -6.370217238,      -3.129554704
          0,           0,         181,      -8.787486924,      -5.453323929,      -6.401244083,      -3.160800872
          0,           0,         182,      -8.819432466,      -5.484749877,      -6.432328226,      -3.192104065
          0,           0,         183,      -8.851421609,       -5.51623365,      -6.463469149,      -3.223463616
          0,           0,         184,      -8.883453568,      -5.547774549,      -6.494666291,      -3.254878845
          0,           0,         185,      -8.915527567,      -5.579371872,      -6.525919098,      -3.286349066
          0,           0,         186,       -8.94764285,      -5.611024917,       -6.55722704,      -3.317873612
          0,           0,         187,      -8.979798657,      -5.642732978,      -6.588589519,        -3.3494518
          0,           0,         188,      -9.011994243,      -5.674495347,      -6.620006044,      -3.381082961
          0,           0,         189,      -9.044228826,      -5.706311316,      -6.651476021,      -3.412766404
          0,           0,         190,      -9.076501659,      -5.738180172,      -6.682998876,      -3.444501441
          0,           0,         191,      -9.108812025,      -5.770101204,      -6.714574073,      -3.476287413
          0,           0,         192,      -9.141159133,      -5.802073695,       -6.74620104,      -3.508123606
          0,           0,         193,      -9.173542223,       -5.83409693,      -6.777879203,      -3.540009318
          0,           0,         194,      -9.205960588,      -5.866170193,      -6.809607944,      -3.571943894
          0,           0,         195,      -9.238413486,      -5.898292766,      -6.841386767,      -3.603926646
          0,           0,         196,      -9.270900174,      -5.930463928,      -6.873215079,      -3.635956868
          0,           0,         197,        -9.3034199,      -5.962682953,       -6.90509227,      -3.668033838
          0,           0,         198,       -9.33597198,      -5.994949131,      -6.937017706,      -3.700156952
          0,           0,         199,      -9.368555671,      -6.027261733,        -6.9689909,      -3.732325441
          0,           0,         200,      -9.401170207,      -6.059620032,      -7.001011187,      -3.764538612
          0,           0,         201,      -9.433814943,      -6.092023314,      -7.033078025,      -3.796795814
          0,           0,         202,      -9.466489125,      -6.124470851,      -7.065190812,      -3.829096334
          0,           0,         203,      -9.499192113,      -6.156961923,      -7.097348917,      -3.861439503
          0,           0,         204,      -9.531923027,      -6.189495795,      -7.129551649,      -3.893824531
          0,           0,         205,      -9.564681435,      -6.222071763,      -7.161798543,      -3.926250886
          0,           0,         206,      -9.597466509,      -6.254689092,       -7.19408897,      -3.958717782
          0,           0,         207,      -9.630277487,      -6.287347063,      -7.226422253,      -3.991224513
          0,           0,         208,      -9.663113903,      -6.320044966,       -7.25879779,      -4.023770486
          0,           0,         209,      -9.695974876,      -6.352782062,      -7.291214993,      -4.056354856
          0,           0,         210,      -9.728859916,      -6.385557638,      -7.323673161,      -4.088977039
          0,           0,         211,      -9.761768339,      -6.418370994,      -7.356171866,      -4.121636407
          0,           0,         212,      -9.794699334,      -6.451221401,      -7.388710251,      -4.154332171
          0,           0,         213,      -9.827652526,       -6.48410816,      -7.421287895,      -4.187063753
          0,           0,         214,      -9.860627163,      -6.517030554,      -7.453903679,      -4.219830418
          0,           0,         215,       -9.89362265,      -6.549987874,      -7.486557716,      -4.252631532
          0,           0,         216,      -9.926638388,      -6.582979416,      -7.519248797,      -4.285466361
          0,           0,         217,      -9.959673689,      -6.616004475,      -7.551976385,      -4.318334276
          0,           0,         218,      -9.992728049,      -6.649062376,      -7.584740136,      -4.351234662
          0,           0,         219,      -10.02580093,      -6.682152403,      -7.617538957,      -4.384166828
          0,           0,         220,      -10.05889176,      -6.715273889,      -7.650372589,      -4.417130184
          0,           0,         221,      -10.09199991,      -6.748426119,      -7.683240316,      -4.450123885
          0,           0,         222,       -10.1251249,       -6.78160844,      -7.716140853,      -4.483147589
          0,           0,         223,      -10.15826619,      -6.814820143,      -7.749074634,      -4.516200282
          0,           0,         224,      -10.19142323,      -6.848060591,      -7.782040315,      -4.549281766
          0,           0,         225,      -10.22459534,      -6.881329092,      -7.815037344,      -4.582391117
          0,           0,         226,      -10.25778254,      -6.914625008,      -7.848064852,      -4.615527719
          0,           0,         227,      -10.29098385,      -6.947947679,      -7.881122841,      -4.648691143
          0,           0,         228,      -10.32419928,      -6.981296462,      -7.914210275,      -4.681880865
          0,           0,         229,      -10.35742742,      -7.014670658,      -7.947325979,      -4.715095614
          0,           0,         230,      -10.39066884,      -7.048069707,      -7.980470142,      -4.748335635
          0,           0,         231,      -10.42392303,      -7.081492947,      -8.013641289,      -4.781599867
          0,           0,         232,      -10.45718865,      -7.114939731,       -8.04683981,      -4.814887703
          0,           0,         233,      -10.49046658,      -7.148409517,      -8.080064448,      -4.848199209
          0,           0,         234,      -10.52375512,      -7.181901639,      -8.113314297,      -4.881532951
          0,           0,         235,      -10.55705569,      -7.215415469,      -8.146588747,       -4.91488873
          0,           0,         236,      -10.59036546,      -7.248950446,      -8.179887433,      -4.948265551
          0,           0,         237,      -10.62368629,      -7.282506067,      -8.213210046,      -4.981664364
          0,           0,         238,      -10.65701677,      -7.316081698,      -8.246555571,      -5.015083325
          0,           0,         239,      -10.69035706,      -7.349676677,      -8.279922742,      -5.048521814
          0,           0,         240,      -10.72370622,      -7.383290698,      -8.313312323,      -5.081980601
          0,           0,         241,      -10.75706358,      -7.416922841,      -8.346722702,      -5.115456901
          0,           0,         242,      -10.79043054,      -7.450572783,      -8.380152043,      -5.148952394
          0,           0,         243,      -10.82380579,      -7.484240137,      -8.413602757,      -5.182466445
          0,           0,         244,      -10.85718882,      -7.517924013,       -8.44707172,      -5.215996592
          0,           0,         245,      -10.89057975,      -7.551624137,      -8.480559257,      -5.249543918
          0,           0,         246,      -10.92398003,      -7.585340199,        -8.5140644,      -5.283109551
          0,           0,         247,      -10.95738676,      -7.619071339,      -8.547586052,      -5.316689947
          0,           0,         248,      -10.99079906,       -7.65281723,      -8.581125726,      -5.350285926
          0,           0,         249,      -11.02421943,      -7.686577252,       -8.61468137,      -5.383896413
          0,           0,         250,      -11.05764944,      -7.720351292,      -8.648251151,      -5.417523579
          0,           0,         251,      -11.09108312,      -7.754138555,      -8.681837369,      -5.451163979
          0,           0,         252,      -11.12452491,      -7.787938725,      -8.715436615,      -5.484818521
          0,           0,         253,      -11.15797182,      -7.821751335,      -8.749050814,      -5.518486217
          0,           0,         254,      -11.19142369,      -7.855575971,       -8.78267715,      -5.552166859
