VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.486844552,      0.7484539688,       1.018382643,       3.972783651
          0,           0,           1,      -1.965212556,      0.4062421627,      0.5885263788,       3.510487672
          0,           0,           2,      -2.216532686,      0.1951825172,      0.3498438151,       3.264788299
          0,           0,           3,      -2.382640422,     0.05108673144,      0.1538820442,       3.099329226
          0,           0,           4,      -2.535406708,    -0.07462272686,    -0.02315082079,       2.945587449
          0,           0,           5,      -2.685511195,     -0.1947862463,     -0.1909594175,       2.793627213
          0,           0,           6,      -2.831843289,     -0.3042607684,     -0.3519633437,       2.645645009
          0,           0,           7,      -2.976027523,     -0.4029972863,     -0.5086184631,         2.5007288
          0,           0,           8,      -3.122079286,     -0.4899281931,     -0.6606943726,       2.355255413
          0,           0,           9,      -3.268072628,     -0.5682143777,     -0.8072459725,       2.210995381
          0,           0,          10,      -3.408897822,     -0.6408433249,     -0.9485952727,       2.072602122
          0,           0,          11,      -3.540559065,     -0.7074057918,      -1.084397445,       1.943626876
          0,           0,          12,       -3.66075723,     -0.7670877261,      -1.211907375,       1.826452345
          0,           0,          13,      -3.769995417,     -0.8201193374,       -1.32836349,       1.721354837
          0,           0,          14,      -3.869335423,     -0.8674246616,      -1.434149105,       1.627966387
          0,           0,          15,       -3.95861944,     -0.9103007531,      -1.530345095,       1.546395459
          0,           0,          16,      -4.037737235,     -0.9500410773,       -1.61476675,        1.47590587
          0,           0,          17,      -4.107294692,     -0.9877902861,      -1.685035377,       1.414546191
          0,           0,          18,      -4.168237069,      -1.024601541,      -1.743089871,        1.36000702
          0,           0,          19,      -4.221835428,      -1.061346422,      -1.793580209,       1.310278361
          0,           0,          20,      -4.269996851,      -1.098539784,      -1.840096075,        1.26377196
          0,           0,          21,      -4.314917037,       -1.13626201,      -1.884440762,       1.219354044
          0,           0,          22,      -4.358459009,      -1.174252491,      -1.927747223,       1.176263848
          0,           0,          23,       -4.40182199,      -1.212079438,      -1.971115062,       1.133993551
          0,           0,          24,      -4.445414556,      -1.249305348,      -2.015373184,       1.092324712
          0,           0,          25,      -4.488928969,      -1.285570737,      -2.060746437,       1.051401173
          0,           0,          26,      -4.531729792,       -1.32063913,      -2.106922932,       1.011574748
          0,           0,          27,      -4.573228385,      -1.354385564,      -2.153333006,      0.9731939399
          0,           0,          28,      -4.613023532,       -1.38677308,      -2.199377733,       0.936487387
          0,           0,          29,      -4.650871821,      -1.417833418,      -2.244493612,      0.9015431953
          0,           0,          30,      -4.686658563,      -1.447653451,      -2.288117053,      0.8683173338
          0,           0,          31,      -4.720382147,      -1.476360111,      -2.329672259,       0.836665662
          0,           0,          32,      -4.752138609,      -1.504103875,      -2.368632516,      0.8063934373
          0,           0,          33,      -4.782102409,      -1.531040653,      -2.404610558,      0.7773013497
          0,           0,          34,      -4.810505365,      -1.557312496,      -2.437439058,      0.7492102409
          0,           0,          35,      -4.837607103,      -1.583039743,      -2.467194988,      0.7219710471
          0,           0,          36,      -4.863662491,      -1.608316008,      -2.494172225,      0.6954628075
          0,           0,          37,      -4.888889158,      -1.633207642,      -2.518814141,      0.6695895525
          0,           0,          38,      -4.913454626,       -1.65775978,      -2.541644553,      0.6442737287
          0,           0,          39,      -4.937479604,      -1.682002859,      -2.563185378,      0.6194479011
          0,           0,          40,      -4.961050831,      -1.705962284,      -2.583901757,       0.595045946
          0,           0,          41,      -4.984232899,      -1.729648944,      -2.604168664,      0.5710138545
          0,           0,          42,      -5.007076232,       -1.75307437,      -2.624271726,      0.5473001727
          0,           0,          43,      -5.029623874,      -1.776248694,      -2.644412543,      0.5238599883
          0,           0,          44,      -5.051913427,      -1.799179503,      -2.664723569,      0.5006560032
          0,           0,          45,      -5.073971632,      -1.821875182,      -2.685281878,      0.4776610555
          0,           0,          46,      -5.095819491,      -1.844345197,      -2.706121733,      0.4548538422
          0,           0,          47,      -5.117471374,      -1.866599831,      -2.727240262,      0.4322200796
          0,           0,          48,      -5.138937698,      -1.888653444,       -2.74860516,      0.4097485727
          0,           0,          49,      -5.160227316,      -1.910524104,      -2.770163723,      0.3874306438
          0,           0,          50,      -5.181350514,      -1.932233205,      -2.791852409,      0.3652584212
          0,           0,          51,      -5.202321035,       -1.95380218,      -2.813601228,      0.3432249496
          0,           0,          52,      -5.223157874,      -1.975256109,      -2.835344698,      0.3213194322
          0,           0,          53,      -5.243886963,      -1.996621202,      -2.857026872,      0.2995264013
