VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.510379802,      0.7894565136,      0.9689039717,       3.949248401
          0,           0,           1,      -1.949915307,      0.4247795826,      0.5910638886,       3.528498797
          0,           0,           2,      -2.194300587,      0.2008408825,      0.3456975651,        3.28949762
          0,           0,           3,      -2.357436544,      0.0460304891,      0.1496742876,       3.125813795
          0,           0,           4,      -2.514767873,    -0.09418091234,    -0.02601836354,       2.966931884
          0,           0,           5,       -2.67172199,     -0.2299974328,     -0.1915301889,       2.807838313
          0,           0,           6,      -2.825110555,     -0.3564346736,     -0.3488174681,       2.652587836
          0,           0,           7,       -2.97852601,      -0.474375462,     -0.5052957845,       2.498030776
          0,           0,           8,      -3.131305693,     -0.5815881447,     -0.6610945501,       2.344596596
          0,           0,           9,      -3.280799494,     -0.6778660659,     -0.8119408171,       2.194629568
          0,           0,          10,      -3.425983036,     -0.7659857416,     -0.9585333741,       2.048913424
          0,           0,          11,      -3.565698414,      -0.846259974,      -1.102929783,       1.908319379
          0,           0,          12,      -3.697261678,     -0.9166384144,      -1.243344839,       1.775660481
          0,           0,          13,      -3.819420747,     -0.9771437068,      -1.376355109,       1.652849022
          0,           0,          14,      -3.932051657,       -1.03074144,      -1.499978847,       1.540178801
          0,           0,          15,      -4.033027451,      -1.080327051,       -1.61467236,       1.439315628
          0,           0,          16,      -4.120741856,      -1.126896623,      -1.720979408,       1.351846066
          0,           0,          17,      -4.197383076,      -1.170303008,      -1.817083381,       1.276202828
          0,           0,          18,      -4.266508541,      -1.210619732,      -1.900333918,       1.209031155
          0,           0,          19,      -4.329718305,      -1.248670911,      -1.970542348,       1.147947343
          0,           0,          20,      -4.386857289,       -1.28571733,      -2.030351048,       1.091938847
          0,           0,          21,      -4.437952756,      -1.322850811,      -2.083274875,       1.040408861
          0,           0,          22,      -4.484278737,      -1.360588044,       -2.13215603,      0.9925325077
          0,           0,          23,        -4.5278821,      -1.398833742,      -2.178744596,      0.9472779736
          0,           0,          24,       -4.57051551,      -1.437120781,       -2.22401929,      0.9037205661
          0,           0,          25,      -4.613006656,      -1.474927477,      -2.268651892,      0.8612927075
          0,           0,          26,      -4.655312341,      -1.511888131,      -2.313225802,      0.8198205814
          0,           0,          27,      -4.696940606,      -1.547839506,       -2.35823377,      0.7794054465
          0,           0,          28,      -4.737375271,      -1.582747014,      -2.404008853,      0.7402600738
          0,           0,          29,      -4.776299294,      -1.616598797,        -2.4506852,      0.7025859369
          0,           0,          30,      -4.813602963,      -1.649335858,      -2.498176238,      0.6665236579
          0,           0,          31,      -4.849276308,      -1.680844159,      -2.546140696,      0.6321579132
          0,           0,          32,      -4.883303633,      -1.710988921,       -2.59396465,      0.5995359167
          0,           0,          33,      -4.915622507,       -1.73966782,      -2.640800757,      0.5686750077
          0,           0,          34,      -4.946140612,      -1.766851257,      -2.685678255,      0.5395683256
          0,           0,          35,      -4.974790527,      -1.792595247,        -2.7276417,      0.5121806722
          0,           0,          36,      -5.001588961,       -1.81702853,      -2.765907064,       0.486438315
          0,           0,          37,      -5.026672347,      -1.840321781,       -2.79999116,       0.462217436
          0,           0,          38,      -5.050289595,      -1.862655277,      -2.829806401,       0.439341675
          0,           0,          39,      -5.072754329,      -1.884192759,      -2.855674615,      0.4175992921
          0,           0,          40,      -5.094383734,      -1.905066912,      -2.878251195,      0.3967692144
          0,           0,          41,      -5.115446999,      -1.925376914,      -2.898378983,       0.376649231
          0,           0,          42,      -5.136137457,      -1.945192521,      -2.916915726,      0.3570744561
          0,           0,          43,      -5.156571717,      -1.964563183,        -2.9346081,      0.3379219659
          0,           0,          44,      -5.176803565,      -1.983528153,      -2.952024741,      0.3191064587
          0,           0,          45,      -5.196845737,      -2.002123955,      -2.969536518,      0.3005712239
          0,           0,          46,      -5.216692231,      -2.020389691,      -2.987336314,      0.2822767703
          0,           0,          47,      -5.236335745,      -2.038368957,      -3.005474475,      0.2641917117
          0,           0,          48,      -5.255777295,      -2.056109276,      -3.023901856,      0.2462871838
          0,           0,          49,      -5.275030143,      -2.073660639,      -3.042510063,      0.2285334251
          0,           0,          50,      -5.294120168,      -2.091073449,      -3.061172335,      0.2108977842
          0,           0,          51,      -5.313082242,       -2.10839674,      -3.079771417,      0.1933454864
          0,           0,          52,      -5.331957141,      -2.125676699,       -3.09821827,      0.1758397921
          0,           0,          53,      -5.350788081,      -2.142955694,      -3.116459403,      0.1583432556
          0,           0,          54,      -5.369617397,      -2.160271962,      -3.134476805,       0.140819316
          0,           0,          55,      -5.388485269,      -2.177659427,      -3.152286015,      0.1232328431
          0,           0,          56,      -5.407427614,      -2.195147611,      -3.169924124,      0.1055522392
          0,           0,          57,      -5.426477207,      -2.212761938,      -3.187436762,     0.08774823363
          0,           0,          58,      -5.445662397,      -2.230523924,      -3.204879655,     0.06979538031
          0,           0,          59,      -5.465007163,       -2.24845114,      -3.222313984,     0.05167207203
          0,           0,          60,      -5.484531044,      -2.266557861,      -3.239794939,     0.03336067958
          0,           0,          61,      -5.504249196,      -2.284855198,      -3.257370668,     0.01484770915
          0,           0,          62,      -5.524173362,      -2.303351384,      -3.275083274,   -0.003877162845
          0,           0,          63,      -5.544312162,      -2.322052446,      -3.292967121,    -0.02282118786
          0,           0,          64,      -5.564669117,      -2.340962147,       -3.31105066,    -0.04198708166
          0,           0,          65,      -5.585245684,       -2.36008246,      -3.329353813,     -0.0613755008
          0,           0,          66,      -5.606043112,      -2.379413894,      -3.347889752,    -0.08098663779
          0,           0,          67,      -5.627062397,      -2.398955819,       -3.36666535,     -0.1008202604
          0,           0,          68,       -5.64830188,      -2.418706422,      -3.385684338,     -0.1208738086
          0,           0,          69,      -5.669756214,      -2.438663096,      -3.404949273,     -0.1411417307
          0,           0,          70,      -5.691421127,      -2.458822685,      -3.424458248,     -0.1616193133
          0,           0,          71,      -5.713292236,      -2.479181621,      -3.444205343,     -0.1823015476
          0,           0,          72,      -5.735364555,      -2.499735906,       -3.46418556,     -0.2031831054
          0,           0,          73,      -5.757632758,      -2.520481106,      -3.484397951,      -0.224258388
          0,           0,          74,      -5.780091576,      -2.541413116,      -3.504827619,     -0.2455218064
          0,           0,          75,       -5.80273727,      -2.562527732,      -3.525466617,     -0.2669692425
          0,           0,          76,      -5.825562314,      -2.583820121,      -3.546309801,     -0.2885934666
          0,           0,          77,      -5.848561009,      -2.605285694,      -3.567348453,     -0.3103888954
          0,           0,          78,      -5.871728415,        -2.6269201,      -3.588576909,     -0.3323505964
          0,           0,          79,      -5.895059291,      -2.648718802,      -3.609988451,     -0.3544735904
          0,           0,          80,      -5.918548951,      -2.670677449,      -3.631576166,     -0.3767533272
          0,           0,          81,       -5.94219265,      -2.692791848,      -3.653333727,     -0.3991852626
          0,           0,          82,      -5.965985555,      -2.715057981,      -3.675256211,     -0.4217648717
          0,           0,          83,      -5.989923374,      -2.737471955,      -3.697338711,     -0.4444881583
          0,           0,          84,      -6.014002526,      -2.760030094,      -3.719576895,     -0.4673517822
          0,           0,          85,      -6.038218658,      -2.782728788,      -3.741966826,     -0.4903518018
          0,           0,          86,      -6.062567341,      -2.805564582,      -3.764504313,     -0.5134843057
          0,           0,          87,       -6.08704431,      -2.828534122,      -3.787187148,     -0.5367453671
          0,           0,          88,      -6.111646897,      -2.851634464,      -3.810008541,     -0.5601325265
          0,           0,          89,      -6.136372557,      -2.874862807,      -3.832965865,     -0.5836434829
          0,           0,          90,      -6.161217873,      -2.898216351,      -3.856056939,     -0.6072752298
          0,           0,          91,       -6.18617957,      -2.921692439,      -3.879278604,      -0.631024816
          0,           0,          92,      -6.211255438,      -2.945288672,       -3.90262772,     -0.6548903187
          0,           0,          93,      -6.236442534,      -2.969002686,      -3.926102255,       -0.67886914
          0,           0,          94,      -6.261738699,      -2.992832351,      -3.949699464,     -0.7029592884
          0,           0,          95,      -6.287141951,      -3.016775684,       -3.97341634,     -0.7271589292
          0,           0,          96,      -6.312650226,      -3.040830788,      -3.997251039,     -0.7514661784
          0,           0,          97,      -6.338261512,      -3.064995893,      -4.021201721,     -0.7758792144
          0,           0,          98,      -6.363974116,       -3.08926936,      -4.045266433,     -0.8003964782
          0,           0,          99,      -6.389786514,      -3.113649703,      -4.069442777,     -0.8250165324
          0,           0,         100,      -6.415696973,      -3.138135563,      -4.093728444,     -0.8497379197
          0,           0,         101,      -6.441704571,      -3.162725597,       -4.11812334,     -0.8745596869
          0,           0,         102,      -6.467808332,      -3.187418526,      -4.142625472,     -0.8994808854
          0,           0,         103,      -6.494006561,      -3.212213176,      -4.167234186,     -0.9245000127
          0,           0,         104,       -6.52029787,      -3.237108453,      -4.191947637,     -0.9496157689
          0,           0,         105,      -6.546681668,      -3.262103419,      -4.216764125,     -0.9748275295
          0,           0,         106,      -6.573157192,      -3.287197181,       -4.24168249,      -1.000134572
          0,           0,         107,      -6.599723465,      -3.312388908,      -4.266701906,      -1.025536026
          0,           0,         108,      -6.626379365,      -3.337677827,      -4.291821211,      -1.051030977
          0,           0,         109,       -6.65312451,      -3.363063126,      -4.317039518,      -1.076618997
          0,           0,         110,      -6.679958444,       -3.38854408,      -4.342355773,      -1.102299601
          0,           0,         111,       -6.70688025,      -3.414120022,      -4.367768871,      -1.128072018
          0,           0,         112,      -6.733888971,      -3.439790316,      -4.393278412,      -1.153935479
          0,           0,         113,      -6.760984159,      -3.465554317,      -4.418883423,      -1.179889516
          0,           0,         114,      -6.788165525,      -3.491411451,      -4.444582755,       -1.20593379
          0,           0,         115,      -6.815432633,      -3.517361169,      -4.470375854,      -1.232067902
          0,           0,         116,      -6.842784579,      -3.543402992,      -4.496263429,       -1.25829106
          0,           0,         117,       -6.87022092,      -3.569536368,      -4.522242341,      -1.284603021
          0,           0,         118,      -6.897741258,      -3.595760776,       -4.54831275,      -1.311003439
          0,           0,         119,      -6.925344776,      -3.622075727,      -4.574474592,      -1.337491604
          0,           0,         120,      -6.953030832,      -3.648480747,      -4.600727195,      -1.364066983
          0,           0,         121,      -6.980798968,      -3.674975387,      -4.627069607,      -1.390729198
          0,           0,         122,      -7.008648862,      -3.701559216,      -4.653500945,      -1.417477984
          0,           0,         123,      -7.036580175,      -3.728231811,      -4.680020603,      -1.444313057
          0,           0,         124,      -7.064592498,      -3.754992749,      -4.706628136,      -1.471234083
          0,           0,         125,      -7.092685366,       -3.78184161,      -4.733323116,      -1.498240686
          0,           0,         126,      -7.120858299,      -3.808777983,      -4.760105008,      -1.525332482
          0,           0,         127,      -7.149111507,       -3.83580148,      -4.786972978,      -1.552509517
          0,           0,         128,      -7.177444468,      -3.862911669,      -4.813926698,      -1.579771354
          0,           0,         129,       -7.20585589,      -3.890108138,      -4.840966435,      -1.607117083
          0,           0,         130,      -7.234344773,      -3.917390494,      -4.868091459,      -1.634546043
          0,           0,         131,      -7.262910999,      -3.944758372,      -4.895300957,      -1.662058131
          0,           0,         132,      -7.291554582,      -3.972211388,      -4.922594338,      -1.689653303
          0,           0,         133,      -7.320275315,      -3.999749123,      -4.949971008,      -1.717331331
          0,           0,         134,      -7.349072628,      -4.027371173,      -4.977430688,       -1.74509176
          0,           0,         135,      -7.377946019,      -4.055077129,      -5.004972849,       -1.77293418
          0,           0,         136,      -7.406894526,      -4.082866536,      -5.032597505,      -1.800857845
          0,           0,         137,       -7.43591811,      -4.110739054,       -5.06030368,      -1.828862701
          0,           0,         138,      -7.465016718,      -4.138694338,      -5.088090475,      -1.856948685
          0,           0,         139,      -7.494189817,      -4.166731979,      -5.115957578,       -1.88511537
          0,           0,         140,       -7.52343682,      -4.194851558,      -5.143904706,      -1.913362278
          0,           0,         141,      -7.552757224,       -4.22305267,      -5.171931479,      -1.941688989
          0,           0,         142,      -7.582150577,      -4.251334916,      -5.200037454,      -1.970095132
          0,           0,         143,      -7.611616454,        -4.2796979,      -5.228222158,       -1.99858035
          0,           0,         144,      -7.641154435,      -4.308141228,      -5.256485117,       -2.02714429
          0,           0,         145,      -7.670764095,      -4.336664502,      -5.284825872,      -2.055786591
          0,           0,         146,      -7.700445005,      -4.365267327,      -5.313243974,      -2.084506889
          0,           0,         147,      -7.730196736,      -4.393949305,       -5.34173898,      -2.113304815
          0,           0,         148,       -7.76001886,      -4.422710038,      -5.370310446,      -2.142180002
          0,           0,         149,      -7.789910952,      -4.451549128,      -5.398957941,      -2.171132081
          0,           0,         150,      -7.819872591,      -4.480466177,      -5.427681019,      -2.200160686
          0,           0,         151,      -7.849903354,      -4.509460787,      -5.456479256,      -2.229265442
          0,           0,         152,      -7.880002817,      -4.538532558,      -5.485352211,       -2.25844598
          0,           0,         153,      -7.910170562,       -4.56768109,      -5.514299458,      -2.287701922
          0,           0,         154,      -7.940406161,      -4.596905986,      -5.543320568,      -2.317032893
          0,           0,         155,      -7.970709197,      -4.626206846,      -5.572415111,      -2.346438513
          0,           0,         156,      -8.001079249,      -4.655583269,      -5.601582666,      -2.375918403
          0,           0,         157,      -8.031515899,      -4.685034859,      -5.630822807,      -2.405472184
          0,           0,         158,      -8.062018731,      -4.714561214,      -5.660135111,      -2.435099474
          0,           0,         159,      -8.092587328,      -4.744161937,      -5.689519166,      -2.464799892
          0,           0,         160,      -8.123221278,      -4.773836629,      -5.718974542,      -2.494573058
          0,           0,         161,      -8.153920175,      -4.803584892,      -5.748500834,       -2.52441859
          0,           0,         162,      -8.184683608,      -4.833406327,      -5.778097627,      -2.554336106
          0,           0,         163,      -8.215511171,      -4.863300539,      -5.807764506,      -2.584325226
          0,           0,         164,       -8.24640246,       -4.89326713,      -5.837501064,      -2.614385566
          0,           0,         165,      -8.277357066,      -4.923305704,        -5.8673069,      -2.644516741
          0,           0,         166,      -8.308374599,      -4.953415865,      -5.897181603,      -2.674718371
          0,           0,         167,      -8.339454655,      -4.983597219,      -5.927124772,      -2.704990072
          0,           0,         168,      -8.370596833,      -5.013849372,      -5.957136002,      -2.735331463
          0,           0,         169,      -8.401800748,       -5.04417193,       -5.98721491,      -2.765742158
          0,           0,         170,      -8.433065995,        -5.0745645,      -6.017361086,      -2.796221772
          0,           0,         171,      -8.464392193,      -5.105026692,      -6.047574145,      -2.826769925
