VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.639276814,      0.5623212503,      0.8749964734,       3.820351389
          0,           0,           1,      -2.079191578,       0.295649069,      0.4873619251,       3.397476382
          0,           0,           2,      -2.327516871,     0.06989436613,      0.2334894001,       3.154021876
          0,           0,           3,      -2.491174236,     -0.0889158656,     0.03797761905,       2.990110564
          0,           0,           4,      -2.644062411,     -0.2285273049,     -0.1426031696,       2.835460045
          0,           0,           5,      -2.798379284,     -0.3630530998,     -0.3125577777,       2.679056807
          0,           0,           6,      -2.951762101,      -0.487078622,       -0.47008816,       2.523963091
          0,           0,           7,      -3.103205118,     -0.6028069527,     -0.6274178931,       2.371458031
          0,           0,           8,      -3.255997173,     -0.7091112977,     -0.7855617984,       2.218321441
          0,           0,           9,      -3.408466362,     -0.8040095833,     -0.9407499999,       2.065873275
          0,           0,          10,      -3.557516997,      -0.889168289,      -1.091829939,       1.916961966
          0,           0,          11,      -3.700431175,     -0.9653589083,      -1.237055319,       1.774380574
          0,           0,          12,      -3.833767551,      -1.031950603,      -1.374798532,       1.641835632
          0,           0,          13,      -3.956147913,       -1.09006752,      -1.505010527,       1.520891987
          0,           0,          14,      -4.068472048,      -1.142127283,      -1.628446017,       1.410797867
          0,           0,          15,      -4.170803331,      -1.189687693,      -1.744898846,       1.311803214
          0,           0,          16,      -4.262060056,      -1.233157694,      -1.851567292,       1.225370062
          0,           0,          17,      -4.341754746,      -1.272832823,      -1.944493949,       1.151844662
          0,           0,          18,      -4.410849184,      -1.309569573,      -2.022791376,       1.089224111
          0,           0,          19,      -4.471278078,      -1.344572137,      -2.089551183,       1.034230358
          0,           0,          20,      -4.524972577,      -1.378880269,      -2.148708897,      0.9841917946
          0,           0,          21,      -4.573634262,      -1.413072088,      -2.203136861,      0.9376420165
          0,           0,          22,      -4.618869137,      -1.447246816,      -2.254581375,      0.8938882401
          0,           0,          23,      -4.661861986,      -1.481178772,      -2.303921048,      0.8526547488
          0,           0,          24,       -4.70317892,      -1.514529957,      -2.351575355,      0.8137854259
          0,           0,          25,      -4.743010831,      -1.547027427,      -2.397981737,      0.7769681375
          0,           0,          26,      -4.781408217,      -1.578535331,      -2.443695632,        0.74178427
          0,           0,          27,      -4.818332448,      -1.609035232,      -2.489152857,      0.7079442286
          0,           0,          28,      -4.853727489,      -1.638566354,      -2.534438348,      0.6753509585
          0,           0,          29,      -4.887657175,      -1.667179533,      -2.579272088,      0.6439592629
          0,           0,          30,      -4.920347615,      -1.694919394,      -2.623200856,      0.6136440799
          0,           0,          31,       -4.95208287,      -1.721828054,      -2.665825146,      0.5842018094
          0,           0,          32,      -4.983038295,      -1.747956635,      -2.706890523,       0.555456555
          0,           0,          33,      -5.013190144,      -1.773371401,      -2.746201815,      0.5273500538
          0,           0,          34,      -5.042355588,       -1.79814885,      -2.783499087,      0.4999447927
          0,           0,          35,      -5.070305703,      -1.822364924,      -2.818424141,      0.4733646046
          0,           0,          36,      -5.096877294,      -1.846082739,      -2.850611739,        0.44772137
          0,           0,          37,      -5.122036053,       -1.86934844,      -2.879854982,      0.4230594456
          0,           0,          38,      -5.145873115,      -1.892191781,      -2.906223607,      0.3993422805
          0,           0,          39,      -5.168561675,      -1.914629548,      -2.930067068,      0.3764695282
          0,           0,          40,      -5.190301199,      -1.936670879,      -2.951918125,      0.3543096455
          0,           0,          41,      -5.211273532,      -1.958321617,      -2.972361542,      0.3327315029
          0,           0,          42,      -5.231620849,       -1.97958769,      -2.991932959,      0.3116244198
          0,           0,          43,      -5.251440658,      -2.000476884,      -3.011063376,      0.2909076648
          0,           0,          44,      -5.270794043,      -2.020999653,      -3.030061937,      0.2705302731
          0,           0,          45,      -5.289719193,      -2.041169947,       -3.04912511,      0.2504641171
          0,           0,          46,      -5.308245784,      -2.061005245,      -3.068358759,      0.2306947619
          0,           0,          47,      -5.326403883,      -2.080527078,      -3.087799579,      0.2112131976
          0,           0,          48,      -5.344230849,      -2.099761407,      -3.107438475,      0.1920076003
          0,           0,          49,      -5.361772086,      -2.118738271,      -3.127239769,      0.1730602841
          0,           0,          50,      -5.379079499,      -2.137491153,      -3.147157072,      0.1543462433
          0,           0,          51,      -5.396208603,      -2.156056278,      -3.167140697,      0.1358336655
          0,           0,          52,      -5.413215637,      -2.174471556,      -3.187144544,      0.1174857959
          0,           0,          53,      -5.430154943,      -2.192775269,      -3.207128497,     0.09926314326
          0,           0,          54,      -5.447077842,      -2.211005077,      -3.227060126,     0.08112498333
          0,           0,          55,      -5.464031049,      -2.229196093,      -3.246915922,     0.06303224004
          0,           0,          56,      -5.481055447,      -2.247380929,      -3.266682355,     0.04494833919
          0,           0,          57,      -5.498187085,       -2.26558898,      -3.286355263,     0.02683931919
          0,           0,          58,      -5.515456561,      -2.283845921,      -3.305940151,    0.008675091152
          0,           0,          59,      -5.532887929,      -2.302173791,       -3.32544989,    -0.00956929045
          0,           0,          60,      -5.550500021,      -2.320590901,      -3.344903787,    -0.02791454721
          0,           0,          61,      -5.568307217,      -2.339112143,      -3.364324744,    -0.04637752779
          0,           0,          62,      -5.586320121,      -2.357749379,      -3.383737455,    -0.06497170272
          0,           0,          63,       -5.60454567,      -2.376511541,      -3.403165238,    -0.08370700746
          0,           0,          64,      -5.622987906,      -2.395405414,      -3.422632867,     -0.1025906667
