VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.437040724,      0.8487355423,       1.051088037,       4.022587479
          0,           0,           1,      -1.890182039,      0.5587389632,       0.640403466,       3.584282663
          0,           0,           2,      -2.137772131,      0.3552779806,      0.4081407445,       3.343223023
          0,           0,           3,      -2.297339437,      0.2114929487,      0.2266488938,       3.184342759
          0,           0,           4,      -2.449667142,     0.08387761942,     0.05666731239,       3.031928777
          0,           0,           5,      -2.597393236,    -0.03155050083,      -0.106850893,        2.88312359
          0,           0,           6,      -2.742168194,     -0.1299065053,       -0.26446704,       2.737809039
          0,           0,           7,      -2.887803681,     -0.2160301164,     -0.4167856678,        2.59314292
          0,           0,           8,      -3.026909026,     -0.2918694763,     -0.5606584007,       2.456123051
          0,           0,           9,      -3.158090706,     -0.3621122536,     -0.6959702173,       2.327920399
          0,           0,          10,      -3.284602887,     -0.4308335492,      -0.824720914,       2.205209967
          0,           0,          11,      -3.405390951,     -0.4971826623,     -0.9473864373,       2.088921573
          0,           0,          12,      -3.515112559,     -0.5586828223,      -1.061631288,       1.984515012
          0,           0,          13,      -3.612702997,     -0.6148097347,      -1.165095225,       1.893583701
          0,           0,          14,      -3.701880667,     -0.6665601304,      -1.259766307,       1.812632105
          0,           0,          15,      -3.784702386,     -0.7148602205,      -1.346350293,       1.738893303
          0,           0,          16,      -3.861593316,     -0.7603427676,      -1.423420942,       1.670912198
          0,           0,          17,      -3.932805069,     -0.8037640421,      -1.492229489,       1.607550067
          0,           0,          18,      -3.997854553,     -0.8460493763,      -1.556081784,       1.548383802
          0,           0,          19,      -4.056885673,     -0.8880176814,      -1.616267789,       1.492906013
          0,           0,          20,      -4.111457114,      -0.930204202,      -1.671840783,       1.440038467
          0,           0,          21,      -4.163269614,     -0.9728867953,      -1.722272788,       1.388780112
          0,           0,          22,      -4.213539713,      -1.016187959,      -1.768417728,       1.338462769
          0,           0,          23,      -4.262851961,      -1.060118145,       -1.81176703,       1.288813975
          0,           0,          24,      -4.311030683,      -1.104565695,      -1.853667243,       1.240040279
          0,           0,          25,      -4.357556555,       -1.14929641,      -1.895117326,       1.192548539
          0,           0,          26,      -4.402135224,      -1.193980367,      -1.936785317,       1.146556529
