VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.448020901,      0.7519653702,       1.071176749,       4.011607302
          0,           0,           1,      -1.932094476,      0.4778367484,      0.6171582611,       3.538611232
          0,           0,           2,      -2.192726871,      0.2710616208,      0.3745168985,       3.282760559
          0,           0,           3,      -2.363698611,      0.1295264436,      0.1828348213,       3.112881224
          0,           0,           4,      -2.518698306,    0.003309310584,     0.01010638728,       2.958022357
          0,           0,           5,      -2.667583933,     -0.1127856134,     -0.1557043771,       2.808567973
          0,           0,           6,      -2.810964095,     -0.2129593258,     -0.3150016523,       2.665026194
          0,           0,           7,      -2.952330912,     -0.3000077857,     -0.4692097916,       2.524413363
          0,           0,           8,      -3.089253778,     -0.3755230655,      -0.616362196,       2.388949683
          0,           0,           9,      -3.221672661,     -0.4446218309,     -0.7558533292,       2.258823598
          0,           0,          10,      -3.349550794,     -0.5111742034,     -0.8882074867,       2.133901454
          0,           0,          11,      -3.468409122,     -0.5745836943,      -1.012114291,       2.017899609
          0,           0,          12,       -3.57484696,     -0.6336488711,      -1.124737374,       1.914052602
          0,           0,          13,      -3.670723689,     -0.6886822896,      -1.227198277,       1.821287111
          0,           0,          14,      -3.756427253,     -0.7397284304,      -1.321582108,       1.739717957
          0,           0,          15,      -3.831195094,     -0.7863835035,      -1.406412508,       1.670102092
          0,           0,          16,      -3.897247777,     -0.8288508926,      -1.479973329,       1.609894208
          0,           0,          17,      -3.957609945,     -0.8683610628,      -1.542235915,       1.555188992
          0,           0,          18,      -4.014540029,     -0.9067866388,      -1.595106374,       1.502758564
          0,           0,          19,      -4.069977663,      -0.945841302,      -1.642586519,       1.450295336
          0,           0,          20,      -4.124722649,     -0.9864570003,      -1.688913142,       1.397119362
          0,           0,          21,      -4.178105827,      -1.028673084,      -1.736191471,       1.344171639
          0,           0,          22,        -4.2291475,      -1.071933133,      -1.783908811,       1.292807581
          0,           0,          23,      -4.277784883,      -1.115508573,      -1.830528798,       1.243593384
          0,           0,          24,      -4.324953227,      -1.158806337,      -1.875433735,       1.196097783
          0,           0,          25,      -4.371685924,      -1.201471671,      -1.919405798,       1.149603011
          0,           0,          26,      -4.418333835,      -1.243315025,      -1.963706528,       1.103829914
          0,           0,          27,      -4.464515637,      -1.284201645,      -2.009098602,       1.059054139
          0,           0,          28,      -4.509554389,      -1.323988441,      -2.055574862,       1.015757015
          0,           0,          29,      -4.552900706,      -1.362531756,      -2.102590602,      0.9742510417
          0,           0,          30,      -4.594319148,      -1.399738065,       -2.14941028,      0.9345201056
          0,           0,          31,      -4.633865859,      -1.435603694,      -2.195304627,      0.8962874337
          0,           0,          32,       -4.67176904,       -1.47023783,      -2.239690205,      0.8591686312
          0,           0,          33,      -4.708316451,      -1.503836657,      -2.282155021,      0.8228114024
          0,           0,          34,       -4.74378106,      -1.536632149,      -2.322455672,       0.786970474
          0,           0,          35,      -4.778365818,      -1.568834254,      -2.360522317,      0.7515363111
          0,           0,          36,      -4.812171846,       -1.60058928,      -2.396463943,        0.71653011
          0,           0,          37,      -4.845208384,      -1.631964794,       -2.43053784,      0.6820644227
          0,           0,          38,       -4.87743358,      -1.662959424,      -2.463091017,       0.648285936
          0,           0,          39,      -4.908807853,      -1.693527012,      -2.494493115,      0.6153183866
          0,           0,          40,      -4.939328137,      -1.723600371,      -2.525077665,      0.5832317141
          0,           0,          41,      -4.969035817,      -1.753114238,      -2.555123003,        0.55203385
          0,           0,          42,      -4.997988962,      -1.782019284,      -2.584778758,      0.5217174389
          0,           0,          43,      -5.026259014,      -1.810289218,      -2.614143039,       0.492244413
