VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.494544184,       0.695245978,       1.025144528,       3.965084019
          0,           0,           1,      -1.955068048,       0.404126193,      0.6034795192,       3.522032169
          0,           0,           2,      -2.209782943,      0.1848620416,      0.3626009826,       3.272632384
          0,           0,           3,      -2.373922146,     0.02734311908,      0.1655922402,       3.108700791
          0,           0,           4,      -2.525431356,     -0.1114965175,    -0.01772055295,       2.955818956
          0,           0,           5,        -2.6826852,      -0.243336789,     -0.1922691546,       2.796995751
          0,           0,           6,      -2.841374092,     -0.3684933843,      -0.356789735,       2.636990942
          0,           0,           7,       -2.99590711,     -0.4899324122,     -0.5152063343,       2.481122392
          0,           0,           8,      -3.146987416,     -0.6014847803,     -0.6700587921,       2.328823579
          0,           0,           9,      -3.296546838,     -0.6999038599,     -0.8219288641,       2.178357248
          0,           0,          10,      -3.442790668,     -0.7868796706,     -0.9705501082,       2.031336773
          0,           0,          11,      -3.583151575,     -0.8640732463,      -1.116584569,       1.890200348
          0,           0,          12,      -3.715893764,     -0.9315850871,      -1.258405584,       1.756605307
          0,           0,          13,      -3.838889089,     -0.9901106456,      -1.390950911,       1.632564213
          0,           0,          14,      -3.950147652,      -1.041709043,      -1.510547789,       1.520242517
          0,           0,          15,      -4.048964219,      -1.088722261,       -1.61859237,       1.420798539
          0,           0,          16,       -4.13603712,      -1.132477934,      -1.717820161,       1.333924983
          0,           0,          17,      -4.212481749,      -1.173218065,      -1.808393901,       1.258700887
          0,           0,          18,      -4.278998131,      -1.210985555,      -1.889106481,       1.194211565
          0,           0,          19,      -4.336279925,      -1.246305904,      -1.959730923,       1.138991962
          0,           0,          20,       -4.38599217,      -1.280183287,      -2.021403431,       1.090541382
          0,           0,          21,      -4.430734614,      -1.313649871,      -2.076111305,        1.04601495
          0,           0,          22,       -4.47294397,      -1.347353956,      -2.126057178,       1.003364822
          0,           0,          23,       -4.51405769,       -1.38144774,       -2.17296573,      0.9617616889
          0,           0,          24,       -4.55452672,       -1.41572924,      -2.217908954,      0.9212163451
          0,           0,          25,      -4.594284075,      -1.449859451,      -2.261602188,      0.8819543194
          0,           0,          26,      -4.633141452,      -1.483522867,      -2.304693337,      0.8440587492
          0,           0,          27,      -4.670950416,      -1.516496388,      -2.347767969,      0.8074654255
          0,           0,          28,      -4.707623398,      -1.548648885,      -2.391212802,      0.7720842695
          0,           0,          29,       -4.74311895,      -1.579909515,      -2.435113542,      0.7378791965
          0,           0,          30,       -4.77744517,      -1.610237199,      -2.479240197,      0.7048619889
          0,           0,          31,      -4.810647399,      -1.639604384,      -2.523117625,      0.6730557577
          0,           0,          32,      -4.842774032,      -1.667993782,        -2.5661199,      0.6424765122
          0,           0,          33,      -4.873849667,      -1.695407611,       -2.60756765,      0.6131223564
          0,           0,          34,      -4.903861804,      -1.721873672,      -2.646836787,      0.5849754959
          0,           0,          35,       -4.93277806,      -1.747446338,       -2.68346699,      0.5579984479
          0,           0,          36,      -4.960581195,      -1.772201553,      -2.717213252,      0.5321267924
          0,           0,          37,      -4.987299753,      -1.796225891,      -2.748073936,      0.5072659195
          0,           0,          38,      -5.013019352,      -1.819605564,      -2.776246044,      0.4832961381
          0,           0,          39,      -5.037873924,      -1.842416503,      -2.802068666,      0.4600822223
          0,           0,          40,      -5.062012197,      -1.864719277,      -2.825968283,      0.4374968775
          0,           0,          41,      -5.085574917,      -1.886558136,      -2.848400152,      0.4154277555
          0,           0,          42,      -5.108672499,      -1.907964657,      -2.869797661,      0.3937885154
          0,           0,          43,      -5.131379061,      -1.928962343,      -2.890532372,      0.3725174335
          0,           0,          44,      -5.153736844,      -1.949572542,      -2.910885297,      0.3515735294
          0,           0,          45,      -5.175766396,      -1.969818057,      -2.931039362,      0.3309292642
          0,           0,          46,      -5.197479919,      -1.989726434,      -2.951085359,      0.3105624604
          0,           0,          47,       -5.21888898,      -2.009330923,      -2.971045474,      0.2904522508
          0,           0,          48,      -5.240011617,      -2.028669387,      -2.990896197,      0.2705743665
          0,           0,          49,      -5.260874008,       -2.04778308,       -3.01059207,      0.2509004834
          0,           0,          50,      -5.281508426,      -2.066715063,      -3.030088646,      0.2313995237
          0,           0,          51,      -5.301952117,      -2.085508724,      -3.049352305,       0.212038362
          0,           0,          52,      -5.322245845,      -2.104206471,      -3.068369419,      0.1927820917
          0,           0,          53,      -5.342431606,      -2.122848776,      -3.087147939,      0.1735957087
          0,           0,          54,      -5.362551058,      -2.141473544,      -3.105711585,      0.1544448791
          0,           0,          55,      -5.382643533,      -2.160115658,      -3.124099323,       0.135297535
          0,           0,          56,       -5.40274682,      -2.178807068,       -3.14235772,      0.1161230124
          0,           0,          57,      -5.422896987,        -2.1975761,      -3.160538204,     0.09689179195
          0,           0,          58,      -5.443125695,      -2.216447471,       -3.17869207,     0.07757821572
          0,           0,          59,      -5.463461577,      -2.235442677,      -3.196870041,     0.05815899021
          0,           0,          60,      -5.483928352,      -2.254579557,      -3.215122142,     0.03861469243
          0,           0,          61,      -5.504543439,       -2.27387251,      -3.233490494,       0.018930593
          0,           0,          62,      -5.525322046,      -2.293333077,      -3.252007143,  -0.0009063793463
          0,           0,          63,      -5.546276354,      -2.312970151,      -3.270701349,    -0.02090677068
          0,           0,          64,      -5.567412755,      -2.332790074,      -3.289597928,    -0.04107646274
          0,           0,          65,      -5.588736419,      -2.352797076,      -3.308718851,    -0.06142034611
          0,           0,          66,        -5.6102493,      -2.372993586,      -3.328073093,    -0.08194095701
          0,           0,          67,      -5.631951703,        -2.3933805,      -3.347667629,     -0.1026392173
          0,           0,          68,      -5.653841353,      -2.413957414,      -3.367507172,     -0.1235137732
          0,           0,          69,      -5.675914431,      -2.434722839,      -3.387590765,     -0.1445620451
          0,           0,          70,      -5.698166623,      -2.455674678,      -3.407914559,     -0.1657810753
          0,           0,          71,       -5.72059367,      -2.476810224,      -3.428474592,     -0.1871676683
          0,           0,          72,       -5.74319106,       -2.49812633,      -3.449267542,     -0.2087182722
          0,           0,          73,      -5.765954352,       -2.51961959,      -3.470286819,     -0.2304295227
          0,           0,          74,      -5.788878499,      -2.541286382,      -3.491524603,     -0.2522974695
          0,           0,          75,      -5.811960855,      -2.563123177,      -3.512974713,     -0.2743199211
          0,           0,          76,      -5.835196441,      -2.585126122,       -3.53463301,     -0.2964929339
          0,           0,          77,      -5.858579455,      -2.607291476,      -3.556489766,     -0.3188116744
          0,           0,          78,      -5.882107447,        -2.6296158,      -3.578539921,     -0.3412739879
          0,           0,          79,      -5.905777967,      -2.652095694,      -3.600780844,     -0.3638776781
          0,           0,          80,      -5.929585936,      -2.674727606,      -3.623206599,     -0.3866184852
          0,           0,          81,      -5.953529282,      -2.697508511,      -3.645809194,     -0.4094946451
          0,           0,          82,      -5.977605612,      -2.720435547,       -3.66858527,     -0.4325039904
          0,           0,          83,      -6.001812367,       -2.74350581,      -3.691529946,     -0.4556442585
          0,           0,          84,      -6.026146865,      -2.766716531,      -3.714639623,     -0.4789131034
          0,           0,          85,      -6.050606216,      -2.790065001,      -3.737907443,     -0.5023080357
          0,           0,          86,       -6.07518719,       -2.81354853,      -3.761325941,      -0.525826247
          0,           0,          87,      -6.099889307,      -2.837165222,      -3.784900902,     -0.5494668805
          0,           0,          88,       -6.12471073,      -2.860912876,      -3.808630207,     -0.5732283555
          0,           0,          89,      -6.149651134,      -2.884789743,      -3.832506308,     -0.5971103085
