VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.512678891,      0.7058572666,       1.000060201,       3.946949312
          0,           0,           1,       -1.97824796,      0.3814955127,      0.5745211329,        3.49883418
          0,           0,           2,      -2.217039256,      0.1694605082,        0.32952822,       3.264548788
          0,           0,           3,      -2.387963359,       0.017856793,      0.1339496954,       3.094319618
          0,           0,           4,      -2.552621638,     -0.1206294771,    -0.04243067554,       2.928702828
          0,           0,           5,       -2.70818288,     -0.2507770105,     -0.2114261868,       2.770969582
          0,           0,           6,      -2.860029074,     -0.3703707478,     -0.3739987953,       2.617686219
          0,           0,           7,      -3.014201868,     -0.4798788274,     -0.5322905298,       2.463189564
          0,           0,           8,      -3.166504797,     -0.5774710965,     -0.6878668598,       2.310914297
          0,           0,           9,      -3.315083929,     -0.6647109881,     -0.8394130115,       2.162609846
          0,           0,          10,      -3.460236646,     -0.7433018902,      -0.985601778,       2.018303468
          0,           0,          11,      -3.599524451,     -0.8138593536,      -1.125998444,       1.880784289
          0,           0,          12,      -3.730855652,     -0.8765603682,      -1.260110852,       1.752489595
          0,           0,          13,      -3.853008593,     -0.9319318653,      -1.387525892,       1.634652105
          0,           0,          14,      -3.964057613,     -0.9812482303,      -1.507990214,       1.528993741
          0,           0,          15,      -4.063209849,      -1.025902752,       -1.62114953,       1.436493386
          0,           0,          16,      -4.151172448,      -1.066778784,       -1.72599359,       1.356821261
          0,           0,          17,      -4.228142225,      -1.104502971,      -1.819775202,       1.289355774
          0,           0,          18,      -4.294003681,      -1.139963869,      -1.898792412,       1.232682297
          0,           0,          19,      -4.350097251,      -1.174344971,      -1.962052998,       1.183850849
          0,           0,          20,      -4.399367759,      -1.208746609,      -2.013114743,       1.139342101
          0,           0,          21,      -4.444896587,       -1.24381946,      -2.057275624,       1.096548024
          0,           0,          22,       -4.48878997,      -1.279645402,      -2.098387228,       1.054306655
          0,           0,          23,      -4.532030825,       -1.31587447,      -2.138289075,       1.012538539
