VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.439504524,      0.7764468513,       1.072674858,       4.020123679
          0,           0,           1,      -1.909200754,      0.4674104569,      0.6375159746,       3.568770749
          0,           0,           2,      -2.157001688,      0.2648800696,      0.4003264657,       3.326847177
          0,           0,           3,      -2.317060342,      0.1164869772,      0.2115575179,       3.166848058
          0,           0,           4,      -2.471327267,     -0.0169107975,     0.03406916063,       3.011595902
          0,           0,           5,      -2.628879833,     -0.1418414778,     -0.1327485027,       2.852770336
          0,           0,           6,       -2.77865853,     -0.2572549329,     -0.2904170538,       2.701390718
          0,           0,           7,      -2.927537902,     -0.3603241765,      -0.443806766,       2.551572582
          0,           0,           8,      -3.075839914,     -0.4486714027,     -0.5953588106,       2.403403222
          0,           0,           9,      -3.220477075,     -0.5259440302,      -0.743848898,       2.260178686
          0,           0,          10,      -3.359930746,     -0.5963016655,     -0.8877486429,       2.123153753
          0,           0,          11,      -3.491886654,     -0.6611056298,      -1.026163097,       1.994336007
          0,           0,          12,      -3.616412941,     -0.7205238847,      -1.156430472,       1.874249838
          0,           0,          13,      -3.734589097,     -0.7745659055,      -1.275730908,       1.762874406
          0,           0,          14,      -3.843722971,     -0.8232253167,      -1.384351514,       1.663167062
          0,           0,          15,      -3.939901165,     -0.8669297982,      -1.483097269,       1.578105442
          0,           0,          16,      -4.023140836,     -0.9067279314,      -1.570575822,       1.506373396
          0,           0,          17,       -4.09639424,     -0.9439944931,      -1.644862958,        1.44404329
          0,           0,          18,      -4.161824303,     -0.9800542459,      -1.706504779,       1.388046632
          0,           0,          19,      -4.220126144,      -1.015933057,      -1.758882139,       1.336805393
          0,           0,          20,      -4.272027711,      -1.052212929,      -1.806218942,       1.289306951
          0,           0,          21,      -4.319032378,      -1.089020863,      -1.851508858,       1.244609516
          0,           0,          22,       -4.36282706,      -1.126145034,      -1.896026193,       1.201982467
          0,           0,          23,       -4.40459577,      -1.163199123,      -1.939921021,       1.161041623
          0,           0,          24,      -4.444919289,      -1.199775163,      -1.982982609,       1.121630565
          0,           0,          25,       -4.48398654,      -1.235548548,       -2.02502778,       1.083651304
          0,           0,          26,      -4.521834504,       -1.27031716,      -2.065928642,       1.046976314
          0,           0,          27,      -4.558502285,      -1.303988489,      -2.105539868,       1.011439997
          0,           0,          28,      -4.594068209,      -1.336548034,      -2.143671003,      0.9768663995
          0,           0,          29,      -4.628599368,      -1.368033882,      -2.180167014,      0.9431082958
          0,           0,          30,      -4.662081496,      -1.398517054,      -2.214986546,      0.9100874214
          0,           0,          31,      -4.694406461,      -1.428088645,      -2.248195829,       0.877803391
          0,           0,          32,      -4.725415522,       -1.45685357,      -2.279895742,      0.8463164253
          0,           0,          33,      -4.754976279,      -1.484917869,      -2.310168772,       0.815710911
          0,           0,          34,      -4.783049964,      -1.512378766,      -2.339061142,      0.7860558289
          0,           0,          35,      -4.809720456,      -1.539315626,      -2.366617669,      0.7573745554
          0,           0,          36,      -4.835179551,      -1.565786018,      -2.392929572,      0.7296316176
          0,           0,          37,      -4.859672773,      -1.591825593,      -2.418153044,       0.702744261
          0,           0,          38,       -4.88343886,      -1.617454336,      -2.442495426,      0.6766041096
          0,           0,          39,      -4.906664571,      -1.642678469,      -2.466188357,      0.6511058131
          0,           0,          40,      -4.929465015,      -1.667496165,      -2.489424182,       0.626170288
          0,           0,          41,      -4.951900058,      -1.691906992,       -2.51234638,      0.6017391507
          0,           0,          42,      -4.973988123,      -1.715914248,      -2.535048243,       0.577777885
          0,           0,          43,      -4.995730825,      -1.739527451,       -2.55758175,      0.5542657052
          0,           0,          44,      -5.017133058,      -1.762763325,      -2.579970589,      0.5311835359
          0,           0,          45,      -5.038211913,      -1.785643956,        -2.6022243,      0.5085086505
          0,           0,          46,       -5.05899898,       -1.80819805,      -2.624358654,      0.4862099067
          0,           0,          47,      -5.079538326,      -1.830457168,      -2.646426057,      0.4642471069
          0,           0,          48,      -5.099879341,      -1.852458085,      -2.668397259,      0.4425790576
          0,           0,          49,      -5.120075055,      -1.874239392,      -2.690288707,      0.4211592397
          0,           0,          50,      -5.140177665,      -1.895840472,       -2.71212599,        0.39994006
          0,           0,          51,      -5.160236625,      -1.917300043,      -2.733927989,      0.3788752413
          0,           0,          52,      -5.180296585,      -1.938654893,      -2.755709144,      0.3579219912
          0,           0,          53,      -5.200395496,       -1.95993976,      -2.777481022,      0.3370419708
          0,           0,          54,      -5.220566703,      -1.981186873,      -2.799250405,      0.3161995722
          0,           0,          55,      -5.240838278,      -2.002425586,      -2.821021003,      0.2953629301
          0,           0,          56,      -5.261232995,      -2.023680208,       -2.84279466,      0.2745048775
          0,           0,          57,      -5.281768023,      -2.044970926,      -2.864574242,      0.2536027187
          0,           0,          58,      -5.302455767,      -2.066315168,      -2.886362295,      0.2326370571
          0,           0,          59,      -5.323305006,      -2.087727358,      -2.908161401,      0.2115916727
          0,           0,          60,      -5.344320489,      -2.109218675,      -2.929976414,      0.1904538071
          0,           0,          61,      -5.365501983,      -2.130798065,      -2.951810498,      0.1692150065
          0,           0,          62,      -5.386851704,      -2.152471784,      -2.973669137,       0.147865621
          0,           0,          63,      -5.408364963,      -2.174244362,      -2.995558996,      0.1264023532
          0,           0,          64,       -5.43003828,      -2.196119056,      -3.017485768,       0.104821731
          0,           0,          65,      -5.451867317,       -2.21809781,      -3.039456969,     0.08312166873
          0,           0,          66,      -5.473847311,      -2.240181522,      -3.061480232,      0.0613012289
          0,           0,          67,      -5.495973324,      -2.262370279,      -3.083563209,      0.0393602986
          0,           0,          68,      -5.518240973,      -2.284663568,      -3.105712731,     0.01729892268
          0,           0,          69,      -5.540644976,      -2.307060171,      -3.127936699,   -0.004881578184
          0,           0,          70,      -5.563180964,      -2.329558586,      -3.150244774,    -0.02717995095
          0,           0,          71,      -5.585845892,      -2.352157328,      -3.172649486,    -0.04959559437
          0,           0,          72,      -5.608638162,      -2.374854679,      -3.195148924,     -0.0721286037
          0,           0,          73,      -5.631551715,      -2.397648061,      -3.217748851,    -0.09477548547
          0,           0,          74,      -5.654582513,        -2.4205352,      -3.240453714,     -0.1175339911
          0,           0,          75,      -5.677728665,      -2.443513836,      -3.263268079,     -0.1404032787
          0,           0,          76,      -5.700986995,      -2.466581458,      -3.286196034,     -0.1633813042
          0,           0,          77,      -5.724354625,       -2.48973565,       -3.30924043,     -0.1864660486
          0,           0,          78,      -5.747827493,      -2.512973911,      -3.332403255,     -0.2096544468
          0,           0,          79,      -5.771402888,      -2.536293875,      -3.355685892,     -0.2329444464
          0,           0,          80,      -5.795078532,      -2.559693048,      -3.379091229,     -0.2563343143
          0,           0,          81,      -5.818852161,        -2.5831694,      -3.402616572,      -0.279822197
          0,           0,          82,      -5.842719699,      -2.606720474,      -3.426261299,     -0.3034051226
          0,           0,          83,      -5.866676359,       -2.63034423,      -3.450027232,     -0.3270789546
          0,           0,          84,      -5.890722184,      -2.654038931,       -3.47391404,     -0.3508436849
          0,           0,          85,      -5.914858277,      -2.677802813,      -3.497921985,     -0.3747001589
          0,           0,          86,      -5.939082445,      -2.701634241,      -3.522050214,     -0.3986465863
          0,           0,          87,      -5.963391236,      -2.725531548,      -3.546297948,     -0.4226802111
          0,           0,          88,      -5.987781783,      -2.749493134,      -3.570663672,     -0.4467987792
          0,           0,          89,      -6.012250814,       -2.77351737,      -3.595144212,     -0.4709998101
          0,           0,          90,       -6.03679553,      -2.797603065,      -3.619742008,     -0.4952809636
          0,           0,          91,      -6.061415369,       -2.82174906,      -3.644455926,     -0.5196418016
          0,           0,          92,       -6.08610685,      -2.845954089,        -3.6692833,     -0.5440797138
          0,           0,          93,      -6.110867056,      -2.870216846,      -3.694220001,      -0.568592455
          0,           0,          94,      -6.135697314,      -2.894536596,      -3.719268569,     -0.5931808766
          0,           0,          95,      -6.160594823,      -2.918912371,      -3.744428527,     -0.6178428462
          0,           0,          96,      -6.185555953,      -2.943343373,      -3.769702653,     -0.6425755882
          0,           0,          97,      -6.210579514,      -2.967828623,      -3.795085664,     -0.6673780976
          0,           0,          98,      -6.235665061,      -2.992367317,      -3.820572227,     -0.6922500155
          0,           0,          99,       -6.26081067,      -3.016958597,      -3.846164708,     -0.7171897091
          0,           0,         100,       -6.28601554,       -3.04160205,      -3.871862075,     -0.7421964747
          0,           0,         101,      -6.311274968,      -3.066296699,      -3.897660835,     -0.7672667611
          0,           0,         102,      -6.336586997,      -3.091041857,      -3.923559344,     -0.7923990904
          0,           0,         103,      -6.361950548,      -3.115836822,      -3.949555749,     -0.8175925281
          0,           0,         104,       -6.38736374,      -3.140680993,      -3.975649679,     -0.8428453155
          0,           0,         105,        -6.4128257,      -3.165573803,       -4.00183897,     -0.8681565438
          0,           0,         106,       -6.43833586,       -3.19051477,      -4.028121689,     -0.8935256489
          0,           0,         107,      -6.463892731,       -3.21550339,      -4.054496138,      -0.918951311
          0,           0,         108,      -6.489494489,      -3.240539139,      -4.080960207,     -0.9444318877
          0,           0,         109,      -6.515139519,      -3.265621522,      -4.107511551,     -0.9699658612
          0,           0,         110,      -6.540826416,       -3.29075009,      -4.134147793,     -0.9955518764
          0,           0,         111,      -6.566553946,      -3.315924394,      -4.160866019,      -1.021188735
          0,           0,         112,      -6.592320562,      -3.341143927,      -4.187664699,      -1.046874838
          0,           0,         113,      -6.618125355,      -3.366408383,      -4.214541568,      -1.072609121
          0,           0,         114,      -6.643966992,      -3.391717391,      -4.241494359,      -1.098390179
          0,           0,         115,       -6.66984512,      -3.417070686,      -4.268519968,      -1.124217455
          0,           0,         116,       -6.69575909,      -3.442467969,      -4.295615879,      -1.150090093
          0,           0,         117,      -6.721707861,      -3.467908913,       -4.32277959,      -1.176006866
          0,           0,         118,      -6.747690419,      -3.493393205,      -4.350008302,      -1.201966547
          0,           0,         119,        -6.7737059,      -3.518920555,      -4.377299086,      -1.227968019
          0,           0,         120,      -6.799753575,      -3.544490696,      -4.404649003,      -1.254010259
          0,           0,         121,      -6.825832785,      -3.570103377,      -4.432055096,      -1.280092287
          0,           0,         122,      -6.851942441,      -3.595758367,      -4.459514883,      -1.306212707
          0,           0,         123,      -6.878081988,      -3.621455371,      -4.487025599,      -1.332370676
          0,           0,         124,      -6.904251741,      -3.647194285,      -4.514583118,      -1.358565972
          0,           0,         125,      -6.930450987,      -3.672974956,      -4.542184058,      -1.384797431
          0,           0,         126,      -6.956679753,       -3.69879718,      -4.569825959,      -1.411064609
          0,           0,         127,      -6.982937221,      -3.724660746,      -4.597505185,      -1.437366398
          0,           0,         128,      -7.009222858,      -3.750565475,      -4.625217686,      -1.463701869
          0,           0,         129,      -7.035536269,      -3.776511254,      -4.652959771,      -1.490070141
          0,           0,         130,      -7.061877224,      -3.802497962,      -4.680728065,      -1.516470473
          0,           0,         131,      -7.088245916,      -3.828525443,      -4.708519639,      -1.542902551
          0,           0,         132,      -7.114641815,      -3.854593546,      -4.736331204,      -1.569365442
          0,           0,         133,      -7.141064701,      -3.880702156,      -4.764159084,      -1.595858436
          0,           0,         134,        -7.1675145,      -3.906851176,      -4.791999667,      -1.622380943
          0,           0,         135,      -7.193991099,      -3.933040505,      -4.819849447,      -1.648932353
          0,           0,         136,      -7.220494373,      -3.959270054,      -4.847704932,      -1.675512055
          0,           0,         137,      -7.247024235,      -3.985539741,      -4.875562619,      -1.702119478
          0,           0,         138,       -7.27358066,      -4.011849502,      -4.903419015,      -1.728754104
          0,           0,         139,      -7.300163667,      -4.038199282,      -4.931270678,       -1.75541546
          0,           0,         140,      -7.326773284,      -4.064589036,      -4.959114268,      -1.782103088
          0,           0,         141,       -7.35340958,      -4.091018733,      -4.986946553,      -1.808816575
          0,           0,         142,      -7.380072739,      -4.117488362,      -5.014764401,      -1.835555609
          0,           0,         143,      -7.406763015,      -4.143997934,      -5.042564705,      -1.862319949
          0,           0,         144,      -7.433480638,      -4.170547469,       -5.07034445,      -1.889109359
          0,           0,         145,      -7.460225816,       -4.19713699,      -5.098100826,      -1.915923607
          0,           0,         146,      -7.486998802,      -4.223766539,      -5.125831199,      -1.942762512
          0,           0,         147,      -7.513799883,      -4.250436168,      -5.153533099,       -1.96962594
          0,           0,         148,       -7.54062937,      -4.277145941,      -5.181204199,      -1.996513802
          0,           0,         149,      -7.567487605,      -4.303895933,      -5.208842354,      -2.023426052
          0,           0,         150,      -7.594374943,      -4.330686228,      -5.236445607,      -2.050362685
          0,           0,         151,      -7.621291758,      -4.357516917,      -5.264012207,       -2.07732373
          0,           0,         152,      -7.648238423,      -4.384388095,      -5.291540598,       -2.10430924
          0,           0,         153,      -7.675215314,      -4.411299861,      -5.319029427,      -2.131319297
          0,           0,         154,      -7.702222804,      -4.438252316,      -5.346477532,      -2.158353999
          0,           0,         155,      -7.729261266,      -4.465245565,      -5.373883954,      -2.185413468
          0,           0,         156,      -7.756331066,      -4.492279711,      -5.401247926,      -2.212497844
          0,           0,         157,      -7.783432561,      -4.519354857,      -5.428568881,      -2.239607277
          0,           0,         158,      -7.810566106,      -4.546471106,      -5.455846438,      -2.266741937
          0,           0,         159,      -7.837732051,      -4.573628563,       -5.48308041,       -2.29390201
          0,           0,         160,      -7.864930745,      -4.600827332,      -5.510270787,      -2.321087701
          0,           0,         161,      -7.892162531,      -4.628067519,      -5.537417754,      -2.348299231
          0,           0,         162,      -7.919427751,      -4.655349231,      -5.564521673,      -2.375536834
          0,           0,         163,      -7.946726747,      -4.682672578,      -5.591583088,      -2.402800765
          0,           0,         164,      -7.974059858,       -4.71003767,      -5.618602716,      -2.430091294
          0,           0,         165,      -8.001427425,      -4.737444622,      -5.645581452,      -2.457408711
          0,           0,         166,      -8.028829786,      -4.764893549,       -5.67252035,      -2.484753321
          0,           0,         167,      -8.056267281,      -4.792384572,      -5.699420633,      -2.512125446
          0,           0,         168,       -8.08374025,       -4.81991781,      -5.726283677,      -2.539525424
          0,           0,         169,      -8.111249036,       -4.84749339,      -5.753111006,      -2.566953612
          0,           0,         170,      -8.138793974,      -4.875111437,      -5.779904286,      -2.594410377
          0,           0,         171,      -8.166375403,      -4.902772081,      -5.806665311,      -2.621896101
          0,           0,         172,      -8.193993657,      -4.930475453,      -5.833395994,      -2.649411177
          0,           0,         173,      -8.221649078,      -4.958221685,      -5.860098371,      -2.676956017
          0,           0,         174,      -8.249341996,      -4.986010911,      -5.886774558,      -2.704531037
          0,           0,         175,      -8.277072742,      -5.013843266,      -5.913426775,      -2.732136663
          0,           0,         176,       -8.30484165,      -5.041718885,      -5.940057322,      -2.759773336
          0,           0,         177,      -8.332649038,      -5.069637903,      -5.966668564,      -2.787441495
          0,           0,         178,      -8.360495232,      -5.097600455,      -5.993262917,      -2.815141588
          0,           0,         179,      -8.388380544,      -5.125606677,      -6.019842862,      -2.842874072
          0,           0,         180,      -8.416305291,      -5.153656703,      -6.046410884,      -2.870639406
          0,           0,         181,      -8.444269773,      -5.181750665,      -6.072969538,      -2.898438043
          0,           0,         182,      -8.472274308,      -5.209888696,      -6.099521358,      -2.926270455
          0,           0,         183,      -8.500319187,      -5.238070925,      -6.126068905,       -2.95413711
          0,           0,         184,      -8.528404705,      -5.266297483,      -6.152614737,      -2.982038468
          0,           0,         185,      -8.556531153,      -5.294568495,      -6.179161415,         -3.009975
          0,           0,         186,      -8.584698809,      -5.322884086,      -6.205711456,      -3.037947164
          0,           0,         187,      -8.612907959,      -5.351244377,      -6.232267372,      -3.065955421
          0,           0,         188,      -8.641158877,      -5.379649491,      -6.258831655,      -3.094000249
          0,           0,         189,      -8.669451827,      -5.408099542,      -6.285406753,      -3.122082092
          0,           0,         190,       -8.69778708,      -5.436594646,      -6.311995073,      -3.150201416
          0,           0,         191,      -8.726164891,      -5.465134914,      -6.338598989,      -3.178358655
          0,           0,         192,      -8.754585514,      -5.493720454,      -6.365220819,      -3.206554272
          0,           0,         193,      -8.783049188,      -5.522351372,      -6.391862787,       -3.23478869
          0,           0,         194,      -8.811556156,      -5.551027772,      -6.418527163,      -3.263062359
          0,           0,         195,      -8.840106678,      -5.579749749,      -6.445216062,      -3.291375699
          0,           0,         196,      -8.868700968,      -5.608517403,      -6.471931572,      -3.319729145
          0,           0,         197,      -8.897339264,      -5.637330823,      -6.498675732,      -3.348123103
          0,           0,         198,      -8.926021786,      -5.666190102,      -6.525450552,       -3.37655801
          0,           0,         199,      -8.954748739,      -5.695095319,      -6.552257808,      -3.405034215
          0,           0,         200,      -8.983520366,      -5.724046564,      -6.579099476,       -3.43355217
          0,           0,         201,      -9.012336889,      -5.753043908,      -6.605977244,      -3.462112227
          0,           0,         202,      -9.041198447,      -5.782087431,       -6.63289288,      -3.490714788
          0,           0,         203,      -9.070105314,      -5.811177204,      -6.659847925,      -3.519360213
          0,           0,         204,      -9.099057663,      -5.840313292,      -6.686844064,      -3.548048885
          0,           0,         205,      -9.128055685,      -5.869495757,      -6.713882687,      -3.576781133
          0,           0,         206,      -9.157099551,      -5.898724665,      -6.740965309,      -3.605557305
          0,           0,         207,      -9.186189517,      -5.928000073,      -6.768093352,      -3.634377784
          0,           0,         208,      -9.215325681,      -5.957322026,      -6.795268086,      -3.663242837
          0,           0,         209,      -9.244508368,       -5.98669059,      -6.822490809,      -3.692152913
          0,           0,         210,      -9.273737609,      -6.016105791,      -6.849762618,      -3.721108181
          0,           0,         211,      -9.303013631,      -6.045567691,      -6.877084726,      -3.750109033
          0,           0,         212,      -9.332336635,      -6.075076319,      -6.904458239,      -3.779155751
          0,           0,         213,      -9.361706788,      -6.104631711,      -6.931884233,      -3.808248612
          0,           0,         214,       -9.39112429,      -6.134233911,      -6.959363647,      -3.837387954
