VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.558277995,      0.6585313833,      0.9583471307,       3.901350208
          0,           0,           1,      -2.030383035,      0.3772955589,      0.5283381251,       3.443480997
          0,           0,           2,       -2.28098748,      0.1647936819,      0.2848763278,       3.198111777
          0,           0,           3,      -2.447167609,     0.01646027822,     0.09266300937,       3.032462187
          0,           0,           4,      -2.607862867,     -0.1202248354,    -0.08390426675,       2.871729167
          0,           0,           5,      -2.766238139,     -0.2426954624,     -0.2499989884,       2.712314779
          0,           0,           6,      -2.914495005,     -0.3487777336,     -0.4074142256,       2.562743117
          0,           0,           7,      -3.057005611,     -0.4450227337,     -0.5631825183,       2.419808486
          0,           0,           8,      -3.198876173,      -0.531041098,     -0.7155937325,       2.278697943
          0,           0,           9,      -3.338799174,      -0.606789596,     -0.8609677832,       2.140488901
          0,           0,          10,       -3.47369885,     -0.6757546748,      -0.998854524,       2.007813808
          0,           0,          11,      -3.602163697,     -0.7408756359,      -1.130366025,       1.881912828
          0,           0,          12,      -3.721799251,     -0.8021594918,      -1.254569675,       1.765323157
          0,           0,          13,      -3.830671445,     -0.8591328411,      -1.369330174,       1.660536077
          0,           0,          14,      -3.929776718,     -0.9121213042,      -1.474264212,       1.567379209
          0,           0,          15,       -4.02071659,     -0.9615437028,      -1.571101683,       1.484517639
          0,           0,          16,      -4.102548399,       -1.00742695,      -1.660807928,       1.411839947
          0,           0,          17,      -4.173679932,       -1.04990367,      -1.741209917,       1.349079705
          0,           0,          18,      -4.235222761,      -1.089729264,      -1.809535095,       1.293888058
          0,           0,          19,      -4.290478206,      -1.128116524,      -1.866935396,       1.242869043
          0,           0,          20,      -4.342278371,      -1.166168147,      -1.917984837,       1.193617131
          0,           0,          21,      -4.391874036,      -1.204485544,      -1.966473963,       1.145340541
          0,           0,          22,      -4.439519933,       -1.24312734,      -2.013486179,       1.098235686
          0,           0,          23,      -4.485228523,      -1.281793848,      -2.058611598,       1.052705295
          0,           0,          24,       -4.52900349,      -1.320058871,      -2.101676328,       1.009000493
          0,           0,          25,       -4.57082059,      -1.357545205,      -2.143279104,      0.9672200995
          0,           0,          26,      -4.610676537,      -1.393995102,      -2.184276973,      0.9273842518
          0,           0,          27,      -4.648702394,      -1.429277018,      -2.225206038,      0.8894328438
          0,           0,          28,      -4.685187253,      -1.463337907,      -2.266127138,       0.853204588
          0,           0,          29,       -4.72046621,      -1.496159796,      -2.306779915,      0.8184660867
          0,           0,          30,      -4.754776386,      -1.527738182,      -2.346783417,      0.7849791066
          0,           0,          31,      -4.788177697,      -1.558095345,      -2.385733315,      0.7525553936
          0,           0,          32,      -4.820561356,      -1.587292705,      -2.423222109,      0.7210899514
          0,           0,          33,      -4.851739622,      -1.615437687,       -2.45885273,      0.6905497556
          0,           0,          34,      -4.881556727,      -1.642676412,      -2.492278933,      0.6609380887
          0,           0,          35,      -4.909972863,      -1.669173196,      -2.523286355,      0.6322525681
          0,           0,          36,      -4.937098774,      -1.695089817,      -2.551876779,      0.6044509292
          0,           0,          37,      -4.963156592,      -1.720565568,      -2.578281068,      0.5774492698
          0,           0,          38,      -4.988417385,      -1.745707541,      -2.602907782,      0.5511335699
          0,           0,          39,      -5.013144852,      -1.770590226,      -2.626246324,      0.5253769719
          0,           0,          40,      -5.037547171,      -1.795259896,      -2.648780366,      0.5000634553
          0,           0,          41,      -5.061764337,      -1.819742234,      -2.670923803,      0.4750995177
          0,           0,          42,      -5.085875406,      -1.844050258,      -2.692990242,      0.4504170488
          0,           0,          43,      -5.109916383,      -1.868191483,      -2.715191034,      0.4259692272
          0,           0,          44,       -5.13389869,      -1.892172905,      -2.737653636,      0.4017238314
          0,           0,          45,      -5.157823914,      -1.916004024,      -2.760440104,      0.3776566421
          0,           0,          46,      -5.181693354,      -1.939698492,       -2.78356796,      0.3537462414
          0,           0,          47,      -5.205512975,      -1.963274116,      -2.807027275,      0.3299705284
          0,           0,          48,      -5.229294607,      -1.986752413,      -2.830794324,      0.3063057298
          0,           0,          49,      -5.253054846,      -2.010157455,      -2.854837348,       0.282726473
          0,           0,          50,      -5.276819026,      -2.033513647,      -2.879140289,       0.259200512
          0,           0,          51,      -5.300606939,      -2.056847499,      -2.903656519,       0.235702069
          0,           0,          52,      -5.324430681,      -2.080184833,      -2.928352937,      0.2122148975
          0,           0,          53,      -5.348308834,      -2.103549742,      -2.953210498,      0.1887147448
          0,           0,          54,      -5.372257696,      -2.126966348,      -2.978214168,      0.1651785402
          0,           0,          55,      -5.396288839,      -2.150449977,      -3.003350107,      0.1415913267
          0,           0,          56,      -5.420413185,      -2.174016577,      -3.028607414,      0.1179353224
          0,           0,          57,       -5.44463647,      -2.197678682,      -3.053977953,     0.09419761996
          0,           0,          58,      -5.468959956,       -2.22144578,      -3.079456449,     0.07036996727
          0,           0,          59,      -5.493384206,      -2.245324508,      -3.105037389,     0.04644570343
          0,           0,          60,      -5.517907037,      -2.269318993,      -3.130719413,     0.02242058882
          0,           0,          61,      -5.542525665,       -2.29343126,      -3.156500657,   -0.001708503475
          0,           0,          62,      -5.567236948,       -2.31766149,      -3.182378176,    -0.02594439651
          0,           0,          63,      -5.592033362,      -2.342008115,      -3.208353545,    -0.05028630244
          0,           0,          64,       -5.61690782,      -2.366468254,      -3.234428185,    -0.07473337689
          0,           0,          65,      -5.641854322,      -2.391038134,      -3.260600974,     -0.0992850996
          0,           0,          66,      -5.666866208,      -2.415712976,      -3.286873475,     -0.1239399329
          0,           0,          67,      -5.691931988,      -2.440487013,      -3.313246735,     -0.1486928561
          0,           0,          68,      -5.717041561,       -2.46535427,      -3.339719294,     -0.1735392398
          0,           0,          69,      -5.742187568,       -2.49030831,      -3.366284965,     -0.1984759717
          0,           0,          70,       -5.76736147,      -2.515342463,      -3.392944922,     -0.2234985072
          0,           0,          71,       -5.79255465,      -2.540449984,      -3.419698514,     -0.2486018497
          0,           0,          72,      -5.817758966,        -2.5656241,      -3.446542803,     -0.2737810573
          0,           0,          73,      -5.842966772,      -2.590858104,      -3.473474175,     -0.2990309354
          0,           0,          74,      -5.868170407,      -2.616145213,      -3.500488127,     -0.3243459863
          0,           0,          75,      -5.893362908,      -2.641478871,      -3.527581771,        -0.3497208
          0,           0,          76,      -5.918538609,      -2.666852685,       -3.55475061,     -0.3751505687
          0,           0,          77,      -5.943691838,      -2.692260364,      -3.581990464,     -0.4006301329
          0,           0,          78,      -5.968817429,      -2.717695808,      -3.609297152,     -0.4261543361
