TITLE     = "Visualization of the solution"
VARIABLES = "x"
"y"
"Mach"
ZONE T="Zone"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=696, Elements=1177, ZONETYPE=FEQuadrilateral
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE )
 9.998585582E-01 5.157326232E-04 5.695410086E-01
 9.859759212E-01 3.160936059E-03 6.415576969E-01
 9.730414152E-01 5.622882396E-03 6.598891627E-01
 9.571121335E-01 8.671700023E-03 6.945297977E-01
 9.430112839E-01 1.142491307E-02 7.136914054E-01
 9.293996692E-01 1.391862892E-02 7.297285206E-01
 9.179298878E-01 1.609877683E-02 7.442477726E-01
 9.058483243E-01 1.830397174E-02 7.590167700E-01
 8.941372633E-01 2.046030574E-02 7.712962631E-01
 8.818103671E-01 2.258883603E-02 7.827584277E-01
 8.697507977E-01 2.469027974E-02 7.954188573E-01
 8.574031591E-01 2.672550455E-02 8.030569921E-01
 8.451020122E-01 2.866946906E-02 8.090737336E-01
 8.338853717E-01 3.044622950E-02 8.168372633E-01
 8.222381473E-01 3.223299608E-02 8.245762380E-01
 8.097186089E-01 3.411342576E-02 8.325244243E-01
 7.971489429E-01 3.596802801E-02 8.413900552E-01
 7.849636674E-01 3.770707920E-02 8.470409084E-01
 7.725198865E-01 3.943051770E-02 8.527749330E-01
 7.609105706E-01 4.103023931E-02 8.605205193E-01
 7.480434179E-01 4.276271164E-02 8.714140169E-01
 7.347918749E-01 4.452630132E-02 8.808695991E-01
 7.237729430E-01 4.590876028E-02 8.856961726E-01
 7.123247981E-01 4.731491581E-02 8.923810630E-01
 7.006459236E-01 4.875575751E-02 9.018816261E-01
 6.874670386E-01 5.030208454E-02 9.110606092E-01
 6.746849418E-01 5.175279453E-02 9.218305236E-01
 6.639629006E-01 5.294857174E-02 9.320093367E-01
 6.520824432E-01 5.419532955E-02 9.396106924E-01
 6.405897141E-01 5.534489825E-02 9.482845342E-01
 6.286586523E-01 5.650456622E-02 9.588107359E-01
 6.169627309E-01 5.757022649E-02 9.692520268E-01
 6.063132882E-01 5.850221962E-02 9.785277071E-01
 5.942454934E-01 5.948295444E-02 9.879483875E-01
 5.824904442E-01 6.038026512E-02 9.982765657E-01
 5.690734982E-01 6.133703515E-02 1.007771627E+00
 5.562205911E-01 6.215475872E-02 1.014016658E+00
 5.435355902E-01 6.288528442E-02 1.018796122E+00
 5.322743654E-01 6.347288936E-02 1.022508643E+00
 5.202748179E-01 6.402734667E-02 1.024178210E+00
 5.078511238E-01 6.453134865E-02 1.023757436E+00
 4.968155622E-01 6.490423530E-02 1.021214260E+00
 4.837763608E-01 6.526762992E-02 1.018669532E+00
 4.709061384E-01 6.555964798E-02 1.016082972E+00
 4.572201967E-01 6.577604264E-02 1.011646290E+00
 4.437475502E-01 6.590276957E-02 1.006011159E+00
 4.309403002E-01 6.593886763E-02 1.000148673E+00
 4.180704653E-01 6.590484828E-02 9.945114658E-01
 4.055392444E-01 6.579855829E-02 9.903702473E-01
 3.928805888E-01 6.563793868E-02 9.854203048E-01
 3.805842996E-01 6.539010257E-02 9.800995940E-01
 3.690398037E-01 6.511605531E-02 9.754399322E-01
 3.558869362E-01 6.472956389E-02 9.709221681E-01
 3.433031738E-01 6.428621709E-02 9.650657542E-01
 3.305210769E-01 6.375126541E-02 9.604427906E-01
 3.198870420E-01 6.327059120E-02 9.564067995E-01
 3.075499833E-01 6.263450533E-02 9.521052501E-01
 2.948862016E-01 6.193022057E-02 9.471961130E-01
 2.810244262E-01 6.105401367E-02 9.419885634E-01
 2.687649727E-01 6.021631882E-02 9.366123850E-01
 2.569356561E-01 5.933238566E-02 9.306159170E-01
 2.445309460E-01 5.832568184E-02 9.257915513E-01
 2.319317609E-01 5.725071207E-02 9.213478844E-01
 2.197768092E-01 5.611808971E-02 9.154803625E-01
 2.078856230E-01 5.493610725E-02 9.086191037E-01
 1.959922165E-01 5.367526039E-02 9.014414368E-01
 1.835672110E-01 5.226336420E-02 8.943637437E-01
 1.717911959E-01 5.084838346E-02 8.879596359E-01
 1.600373536E-01 4.934804514E-02 8.807112390E-01
 1.482718736E-01 4.773683101E-02 8.741444247E-01
 1.373581886E-01 4.616184905E-02 8.673380007E-01
 1.259584427E-01 4.440804571E-02 8.608343068E-01
 1.148253828E-01 4.259082675E-02 8.545412932E-01
 1.041631922E-01 4.073736444E-02 8.481832148E-01
 9.431941807E-02 3.891585767E-02 8.404962539E-01
 8.359251916E-02 3.679408506E-02 8.300056765E-01
 7.245664299E-02 3.441781178E-02 8.171626546E-01
 6.286804378E-02 3.220533952E-02 8.019026213E-01
 5.349177495E-02 2.986936830E-02 7.853224863E-01
 4.482021555E-02 2.751059458E-02 7.690941168E-01
 3.731760383E-02 2.528410405E-02 7.537720483E-01
 3.066108562E-02 2.311457694E-02 7.348896376E-01
 2.498482913E-02 2.108498849E-02 7.152241133E-01
 2.080638707E-02 1.944239810E-02 7.041187825E-01
 1.681976579E-02 1.773276180E-02 6.769636524E-01
 1.374138705E-02 1.628477871E-02 6.514935012E-01
 1.100467984E-02 1.487546135E-02 6.468156661E-01
 9.019863792E-03 1.375492569E-02 6.432256283E-01
 7.215372752E-03 1.264597010E-02 6.214565206E-01
 5.547655746E-03 1.151079033E-02 5.678038505E-01
 3.429054981E-03 9.860889986E-03 4.720626572E-01
 1.650131075E-03 8.197541349E-03 4.085635418E-01
 2.010936296E-04 6.484393496E-03 3.472693900E-01
 -1.187433139E-03 4.097490571E-03 2.209611202E-01
 -1.780495862E-03 2.242565388E-03 1.191624082E-01
 -1.968920929E-03 7.302072481E-04 1.333472926E-01
 -1.874645590E-03 -9.923188481E-04 8.291094839E-02
 -1.412081649E-03 -2.891703276E-03 2.238678533E-01
 -4.151196335E-04 -5.130629055E-03 2.453714936E-01
 1.114275074E-03 -7.463279180E-03 3.257487481E-01
 3.194582881E-03 -9.873984382E-03 3.993667337E-01
 5.105081014E-03 -1.170763932E-02 4.558981683E-01
 7.292704657E-03 -1.353167929E-02 4.935473151E-01
 9.003707208E-03 -1.481551770E-02 5.323420117E-01
 1.112416387E-02 -1.627578214E-02 5.649942918E-01
 1.356272120E-02 -1.780666597E-02 6.020969981E-01
 1.680346206E-02 -1.967004128E-02 6.342639619E-01
 1.988866925E-02 -2.128752321E-02 6.559454438E-01
 2.384522185E-02 -2.319255844E-02 6.793034536E-01
 2.914294973E-02 -2.549936436E-02 7.103436140E-01
 3.477199376E-02 -2.771119587E-02 7.383261396E-01
 4.155900329E-02 -3.012321517E-02 7.609892328E-01
 4.895658419E-02 -3.251259774E-02 7.812783445E-01
 5.759533867E-02 -3.504464775E-02 7.994458594E-01
 6.617143005E-02 -3.733552247E-02 8.141411323E-01
 7.625827938E-02 -3.980425745E-02 8.282080840E-01
 8.599871397E-02 -4.198642075E-02 8.413725206E-01
 9.643997997E-02 -4.416640848E-02 8.520559218E-01
 1.075440049E-01 -4.630102962E-02 8.607823940E-01
 1.189515516E-01 -4.833720624E-02 8.694150800E-01
 1.306025982E-01 -5.027751625E-02 8.779281057E-01
 1.410863847E-01 -5.190549791E-02 8.868687165E-01
 1.523272544E-01 -5.354657769E-02 8.951687679E-01
 1.641105562E-01 -5.514789373E-02 9.026706860E-01
 1.755776256E-01 -5.661183968E-02 9.108946268E-01
 1.872713566E-01 -5.800327286E-02 9.193583295E-01
 1.978703588E-01 -5.917340890E-02 9.273696088E-01
 2.091283351E-01 -6.033522263E-02 9.344266454E-01
 2.212025970E-01 -6.147498265E-02 9.422548885E-01
 2.333892435E-01 -6.255181879E-02 9.522308043E-01
 2.452533394E-01 -6.348570436E-02 9.614805404E-01
 2.573173940E-01 -6.432827562E-02 9.692506036E-01
 2.685808241E-01 -6.505084783E-02 9.780274400E-01
 2.809209228E-01 -6.571044773E-02 9.873665676E-01
 2.930995226E-01 -6.627571583E-02 9.962716914E-01
 3.060821593E-01 -6.675016880E-02 1.006054099E+00
 3.177711666E-01 -6.705332547E-02 1.013683624E+00
 3.302694857E-01 -6.726591289E-02 1.019342958E+00
 3.409778774E-01 -6.735798717E-02 1.025052849E+00
 3.525746465E-01 -6.735903770E-02 1.032857997E+00
 3.635834754E-01 -6.723958254E-02 1.039226763E+00
 3.745724559E-01 -6.703336537E-02 1.044078711E+00
 3.865271807E-01 -6.667953730E-02 1.046701635E+00
 3.995541036E-01 -6.616470963E-02 1.044430653E+00
 4.119664133E-01 -6.551884115E-02 1.036710677E+00
 4.246322811E-01 -6.473615021E-02 1.022153836E+00
 4.370473325E-01 -6.384178996E-02 1.003948059E+00
 4.496529400E-01 -6.280092150E-02 9.829173208E-01
 4.618896544E-01 -6.167373061E-02 9.615360531E-01
 4.744184613E-01 -6.042611226E-02 9.405531886E-01
 4.864701033E-01 -5.909994245E-02 9.202147075E-01
 4.988395274E-01 -5.767986923E-02 9.005554734E-01
 5.123319030E-01 -5.600462854E-02 8.813654713E-01
 5.255723596E-01 -5.432001874E-02 8.651828155E-01
 5.383220911E-01 -5.261394009E-02 8.491018998E-01
 5.511496067E-01 -5.078423768E-02 8.315313394E-01
 5.646057725E-01 -4.890266433E-02 8.166787295E-01
 5.774842501E-01 -4.699463770E-02 8.040197931E-01
 5.903375745E-01 -4.509088024E-02 7.908350358E-01
 6.033173800E-01 -4.313218594E-02 7.791648032E-01
 6.168654561E-01 -4.105534032E-02 7.675213162E-01
 6.306951046E-01 -3.893257305E-02 7.561508691E-01
 6.445094347E-01 -3.677485138E-02 7.449835329E-01
 6.576197743E-01 -3.475509584E-02 7.349851263E-01
 6.708127260E-01 -3.267775103E-02 7.244409157E-01
 6.833030581E-01 -3.074569069E-02 7.150753910E-01
 6.957972646E-01 -2.884591930E-02 7.077403694E-01
 7.102854252E-01 -2.658638917E-02 6.985764576E-01
 7.236313224E-01 -2.458249591E-02 6.894640253E-01
 7.351195216E-01 -2.280877531E-02 6.807606667E-01
 7.484185100E-01 -2.081311494E-02 6.717847338E-01
 7.613453865E-01 -1.892365888E-02 6.641318151E-01
 7.747226357E-01 -1.696232520E-02 6.559212802E-01
 7.871100903E-01 -1.521966979E-02 6.482666898E-01
 7.998326421E-01 -1.343273092E-02 6.412869738E-01
