TITLE     = "Visualization of the solution"
VARIABLES = "x"
"y"
"Pressure_Coefficient"
ZONE T="Zone"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=720, Elements=1225, ZONETYPE=FEQuadrilateral
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE )
 9.995503426E-01 5.063464632E-04 3.054687831E-01
 9.873489738E-01 2.843675204E-03 2.673988642E-01
 9.749526978E-01 5.287846085E-03 1.750745685E-01
 9.590242505E-01 8.396796882E-03 1.047658738E-01
 9.443486929E-01 1.129634492E-02 5.885825334E-02
 9.291719794E-01 1.418108959E-02 2.027338520E-02
 9.173842072E-01 1.646723598E-02 -1.559792960E-02
 9.051184654E-01 1.880670711E-02 -5.534784680E-02
 8.935065269E-01 2.102783322E-02 -8.769690683E-02
 8.813862801E-01 2.323158458E-02 -1.060205836E-01
 8.690922260E-01 2.543793246E-02 -1.425242161E-01
 8.572672606E-01 2.760305628E-02 -1.794260240E-01
 8.446596265E-01 2.976255491E-02 -1.955129808E-01
 8.333564997E-01 3.162983432E-02 -2.134468150E-01
 8.218701482E-01 3.353267163E-02 -2.368532922E-01
 8.092863560E-01 3.555954248E-02 -2.574557083E-01
 7.964515090E-01 3.756939247E-02 -2.770759184E-01
 7.841616869E-01 3.945689648E-02 -2.987418119E-01
 7.719168067E-01 4.130316526E-02 -3.236015445E-01
 7.602310181E-01 4.303186387E-02 -3.454130398E-01
 7.471440434E-01 4.489554092E-02 -3.665776302E-01
 7.333799005E-01 4.681621492E-02 -3.922059592E-01
 7.228683829E-01 4.824977741E-02 -4.163427402E-01
 7.120580077E-01 4.967918992E-02 -4.392956562E-01
 7.006666660E-01 5.114910752E-02 -4.637903201E-01
 6.873112917E-01 5.281228572E-02 -4.894532805E-01
 6.743504405E-01 5.435985327E-02 -5.148710657E-01
 6.644331813E-01 5.549062788E-02 -5.393048888E-01
 6.533482671E-01 5.672602728E-02 -5.621915630E-01
 6.418396235E-01 5.794526264E-02 -5.800431516E-01
 6.300998330E-01 5.911773816E-02 -6.090176433E-01
 6.191195846E-01 6.021053344E-02 -6.407212133E-01
 6.085137129E-01 6.116933003E-02 -6.648916634E-01
 5.959555507E-01 6.225783378E-02 -6.870769006E-01
 5.843821764E-01 6.316554546E-02 -7.088483282E-01
 5.711557865E-01 6.415185332E-02 -7.300488199E-01
 5.589109659E-01 6.496226788E-02 -7.448143991E-01
 5.468630195E-01 6.569868326E-02 -7.571547479E-01
 5.360323787E-01 6.629683077E-02 -7.600527283E-01
 5.245395899E-01 6.686073542E-02 -7.561973753E-01
 5.118972659E-01 6.739725173E-02 -7.502404789E-01
 5.006691813E-01 6.780289114E-02 -7.426393330E-01
 4.873333871E-01 6.820625812E-02 -7.382096710E-01
 4.739046693E-01 6.854093820E-02 -7.314262138E-01
 4.596704841E-01 6.878363341E-02 -7.213112127E-01
 4.461279809E-01 6.892258674E-02 -7.107239418E-01
 4.333830178E-01 6.898806989E-02 -6.959942530E-01
 4.205360115E-01 6.895151734E-02 -6.814497959E-01
 4.082598984E-01 6.886384636E-02 -6.711553679E-01
 3.959925473E-01 6.871447712E-02 -6.575491109E-01
 3.836687803E-01 6.847415864E-02 -6.419143602E-01
 3.721927404E-01 6.820376217E-02 -6.267712671E-01
 3.588130772E-01 6.781103462E-02 -6.125632652E-01
 3.462203741E-01 6.735945493E-02 -6.026509892E-01
 3.332757354E-01 6.685146689E-02 -5.926938978E-01
 3.221460283E-01 6.632449478E-02 -5.774266498E-01
 3.091632426E-01 6.565858424E-02 -5.619871614E-01
 2.958115935E-01 6.487586349E-02 -5.487946480E-01
 2.819137573E-01 6.399416924E-02 -5.361427928E-01
 2.693918645E-01 6.310737133E-02 -5.194294709E-01
 2.574653625E-01 6.218955666E-02 -5.022105553E-01
 2.450474948E-01 6.116028875E-02 -4.856965917E-01
 2.326580733E-01 6.005482748E-02 -4.711553757E-01
 2.202543169E-01 5.887063965E-02 -4.585808905E-01
 2.086465657E-01 5.767935142E-02 -4.415850962E-01
 1.971294135E-01 5.640744418E-02 -4.228269809E-01
 1.847403944E-01 5.495782942E-02 -4.084002748E-01
 1.729017645E-01 5.348651111E-02 -3.924654730E-01
 1.617832482E-01 5.200335756E-02 -3.747294265E-01
 1.498585641E-01 5.032286420E-02 -3.583710298E-01
 1.392733455E-01 4.873460159E-02 -3.373219846E-01
 1.276523173E-01 4.687704518E-02 -3.153030333E-01
 1.161971241E-01 4.493424296E-02 -2.932527047E-01
 1.056736484E-01 4.302222282E-02 -2.728425495E-01
 9.592322260E-02 4.113863781E-02 -2.472205744E-01
 8.475109935E-02 3.883378208E-02 -2.176663536E-01
 7.277933508E-02 3.615766391E-02 -1.875579489E-01
 6.277431548E-02 3.373300657E-02 -1.425322790E-01
 5.274964124E-02 3.108119033E-02 -1.015309839E-01
 4.408499226E-02 2.857479267E-02 -5.524174622E-02
 3.662448376E-02 2.622048371E-02 -1.609465949E-03
 3.000285476E-02 2.393276058E-02 4.741295993E-02
 2.445461415E-02 2.183235623E-02 8.995236706E-02
 2.045352943E-02 2.017494105E-02 1.472211188E-01
 1.663821936E-02 1.846143417E-02 2.105614365E-01
 1.373357419E-02 1.704249345E-02 2.693607248E-01
 1.103060879E-02 1.560678706E-02 3.138695585E-01
 9.028342552E-03 1.444891095E-02 3.402998787E-01
 7.303114980E-03 1.336416323E-02 3.987934745E-01
 5.713765044E-03 1.228196081E-02 4.605365242E-01
 3.607172985E-03 1.065098681E-02 5.607130791E-01
 1.768249203E-03 8.971403353E-03 5.993481811E-01
 2.085558954E-04 7.190142293E-03 7.359010415E-01
 -1.281944569E-03 4.732598085E-03 9.869691398E-01
 -1.885578618E-03 2.882265253E-03 8.827568552E-01
 -2.049533650E-03 1.421269961E-03 1.146853567E+00
 -1.916581765E-03 -1.647822064E-04 8.577538588E-01
 -1.459829742E-03 -1.750266529E-03 9.578934331E-01
 -5.004074774E-04 -3.623731434E-03 8.475508507E-01
 9.485035553E-04 -5.546716042E-03 5.299176636E-01
 2.956223674E-03 -7.537538186E-03 5.386898158E-01
 4.769797437E-03 -8.999202400E-03 3.288234375E-01
 6.848810706E-03 -1.044276077E-02 2.472030936E-01
 8.478907868E-03 -1.145395543E-02 1.693795158E-01
 1.054038294E-02 -1.261573844E-02 1.392545880E-01
 1.287021209E-02 -1.381041110E-02 9.061349971E-02
 1.617013291E-02 -1.533689443E-02 4.117107012E-02
 1.910143718E-02 -1.656448282E-02 -3.871292263E-03
 2.290340327E-02 -1.801403798E-02 -4.819403628E-02
 2.819545381E-02 -1.983967051E-02 -7.868640428E-02
 3.393664584E-02 -2.161859348E-02 -1.214121399E-01
 4.110453650E-02 -2.361101657E-02 -1.439850913E-01
 4.866000265E-02 -2.551374957E-02 -1.741348613E-01
 5.766539648E-02 -2.756320126E-02 -1.959841164E-01
 6.645553559E-02 -2.939561009E-02 -2.161065836E-01
 7.656309009E-02 -3.134140372E-02 -2.329718736E-01
 8.639995009E-02 -3.308851644E-02 -2.476438978E-01
 9.648393095E-02 -3.476399928E-02 -2.603530461E-01
 1.073040441E-01 -3.644585609E-02 -2.732189842E-01
 1.183593795E-01 -3.805319965E-02 -2.858304929E-01
 1.299562901E-01 -3.964273259E-02 -2.986459218E-01
 1.406060904E-01 -4.101460055E-02 -3.117342069E-01
 1.517036855E-01 -4.237546399E-02 -3.256892205E-01
 1.638156027E-01 -4.376880452E-02 -3.394507765E-01
 1.754862070E-01 -4.503394663E-02 -3.539470450E-01
 1.874546558E-01 -4.625358433E-02 -3.696751149E-01
 1.981262118E-01 -4.726907238E-02 -3.855827832E-01
 2.093193233E-01 -4.827998206E-02 -3.997623175E-01
 2.215591371E-01 -4.929937050E-02 -4.158060451E-01
 2.343581319E-01 -5.029424652E-02 -4.327491068E-01
 2.469672114E-01 -5.119067430E-02 -4.544367210E-01
 2.594590783E-01 -5.198034644E-02 -4.721880750E-01
 2.706231773E-01 -5.262156203E-02 -4.888751716E-01
 2.832863331E-01 -5.325005576E-02 -5.040834922E-01
 2.960928380E-01 -5.381333455E-02 -5.224143977E-01
 3.087962866E-01 -5.425531417E-02 -5.440363374E-01
 3.205316365E-01 -5.457230285E-02 -5.619503414E-01
 3.330550492E-01 -5.479425937E-02 -5.725976723E-01
 3.439315856E-01 -5.490835384E-02 -5.822291746E-01
 3.553859890E-01 -5.493346602E-02 -5.891543396E-01
 3.662531078E-01 -5.486479774E-02 -5.936009732E-01
 3.768466711E-01 -5.469610170E-02 -5.911216088E-01
 3.882097900E-01 -5.443974584E-02 -5.841580314E-01
 4.012312889E-01 -5.400859937E-02 -5.756782898E-01
 4.136953354E-01 -5.345235392E-02 -5.560745624E-01
 4.266832173E-01 -5.276147276E-02 -5.297043402E-01
 4.392682314E-01 -5.196034908E-02 -5.030336980E-01
 4.511573911E-01 -5.108276755E-02 -4.730441367E-01
 4.629578888E-01 -5.010351166E-02 -4.366428567E-01
 4.754270017E-01 -4.898270965E-02 -3.990158092E-01
 4.868340790E-01 -4.785051569E-02 -3.613926770E-01
 4.995589554E-01 -4.652211070E-02 -3.211186447E-01
 5.134322643E-01 -4.497300088E-02 -2.816766500E-01
 5.272037983E-01 -4.335027561E-02 -2.407232752E-01
 5.407112837E-01 -4.167653248E-02 -1.994361530E-01
 5.536753535E-01 -4.004380479E-02 -1.653322292E-01
 5.671476722E-01 -3.830908611E-02 -1.358635734E-01
 5.802790523E-01 -3.656970710E-02 -1.059898855E-01
 5.920306444E-01 -3.496001661E-02 -7.351600447E-02
 6.045820117E-01 -3.327316418E-02 -4.645327562E-02
 6.188775897E-01 -3.131284937E-02 -2.149804242E-02
 6.336851120E-01 -2.929054201E-02 6.937368449E-03
 6.487054229E-01 -2.724002674E-02 3.277234492E-02
 6.615946293E-01 -2.545612678E-02 5.825093430E-02
 6.751967669E-01 -2.360563725E-02 8.147547440E-02
 6.878862381E-01 -2.190396003E-02 1.003489308E-01
 7.000607252E-01 -2.025234699E-02 1.204954045E-01
 7.143611312E-01 -1.833603345E-02 1.456947346E-01
 7.278617024E-01 -1.662985235E-02 1.620835184E-01
 7.396396399E-01 -1.510946266E-02 1.761544463E-01
