TITLE     = "Visualization of the solution"
VARIABLES = "x"
"y"
"Mach"
ZONE T="Zone"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=12166, Elements=23750, ZONETYPE=FEQuadrilateral
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE )
 9.997665882E-01 5.136344698E-04 5.292442702E-01
 9.879601002E-01 2.891278593E-03 6.428611823E-01
 9.756771326E-01 5.372932181E-03 6.731273711E-01
 9.600496292E-01 8.505877107E-03 6.984901551E-01
 9.455192089E-01 1.136972383E-02 7.129273423E-01
 9.316902161E-01 1.419040561E-02 7.401632721E-01
 9.199228883E-01 1.644133031E-02 7.435502141E-01
 9.083142281E-01 1.876101270E-02 7.667315397E-01
 8.966597319E-01 2.099961974E-02 7.820072078E-01
 8.843648434E-01 2.323734201E-02 7.849411736E-01
 8.722677231E-01 2.547924221E-02 8.043062148E-01
 8.597689271E-01 2.764795162E-02 8.038030027E-01
 8.476290703E-01 2.982827276E-02 8.281219189E-01
 8.362617493E-01 3.169309720E-02 8.238668414E-01
 8.247598410E-01 3.362518176E-02 8.385713083E-01
 8.119863868E-01 3.567063808E-02 8.426082580E-01
 7.993056774E-01 3.769006208E-02 8.539062492E-01
 7.869160771E-01 3.960344195E-02 8.623368590E-01
 7.746241689E-01 4.145812243E-02 8.707882142E-01
 7.627089620E-01 4.318995029E-02 8.733619431E-01
 7.496449351E-01 4.509079084E-02 8.861088747E-01
 7.359837890E-01 4.701643437E-02 8.979352103E-01
 7.252306938E-01 4.847567901E-02 9.034179390E-01
 7.141395807E-01 4.994959012E-02 9.114459584E-01
 7.025602460E-01 5.145505816E-02 9.229813903E-01
 6.891011596E-01 5.312135816E-02 9.277707808E-01
 6.759681702E-01 5.468600243E-02 9.343725563E-01
 6.658218503E-01 5.588990822E-02 9.520491321E-01
 6.541352272E-01 5.719382316E-02 9.569278916E-01
 6.423118114E-01 5.844145641E-02 9.583824059E-01
 6.304970384E-01 5.966146663E-02 9.733657571E-01
 6.191208959E-01 6.078012288E-02 9.826214846E-01
 6.083060503E-01 6.177363172E-02 9.592983405E-01
 5.956235528E-01 6.284736097E-02 9.673319372E-01
 5.838883519E-01 6.377920508E-02 1.083414191E+00
 5.702843070E-01 6.478190422E-02 1.116546777E+00
 5.579266548E-01 6.563451141E-02 1.102010443E+00
 5.455593467E-01 6.638164818E-02 1.095835754E+00
 5.346646309E-01 6.698237360E-02 1.092173343E+00
 5.227835178E-01 6.755051017E-02 1.084927554E+00
 5.101945400E-01 6.808214635E-02 1.082796262E+00
 4.990188479E-01 6.849673390E-02 1.077982551E+00
 4.859240651E-01 6.890872121E-02 1.066369187E+00
 4.724016786E-01 6.920208037E-02 1.055941906E+00
 4.584528804E-01 6.944762170E-02 1.055267874E+00
 4.451708794E-01 6.959240139E-02 1.041324718E+00
 4.322719872E-01 6.962811947E-02 1.026984781E+00
 4.192666411E-01 6.959246099E-02 1.025433310E+00
 4.069066346E-01 6.950354576E-02 1.028817162E+00
 3.945710063E-01 6.935191154E-02 1.024462353E+00
 3.821295798E-01 6.910699606E-02 1.016010623E+00
 3.706028759E-01 6.883382052E-02 1.009011820E+00
 3.573517203E-01 6.842249632E-02 9.983837906E-01
 3.448167443E-01 6.797538698E-02 9.942086048E-01
 3.318344951E-01 6.743628532E-02 9.899408905E-01
 3.206662238E-01 6.690872461E-02 9.839203289E-01
 3.081140220E-01 6.625257432E-02 9.786255665E-01
 2.948811352E-01 6.547299773E-02 9.704689665E-01
 2.809521258E-01 6.456812471E-02 9.659579418E-01
 2.686609328E-01 6.369076669E-02 9.602102206E-01
 2.567709982E-01 6.276115030E-02 9.525182905E-01
 2.443519831E-01 6.172474846E-02 9.471750539E-01
 2.320158929E-01 6.060601026E-02 9.402568828E-01
 2.198307812E-01 5.942940712E-02 9.360564593E-01
 2.081835419E-01 5.821584910E-02 9.281488947E-01
 1.967766434E-01 5.694235489E-02 9.194319395E-01
 1.847072989E-01 5.552772433E-02 9.152427158E-01
 1.728759408E-01 5.403325707E-02 9.067905016E-01
 1.615972072E-01 5.252591521E-02 9.000068478E-01
 1.498128325E-01 5.085353181E-02 8.943828639E-01
 1.392542720E-01 4.924530908E-02 8.839377221E-01
 1.278019696E-01 4.740924761E-02 8.767258665E-01
 1.165028811E-01 4.547012970E-02 8.683636045E-01
 1.058979258E-01 4.352641851E-02 8.560532712E-01
 9.604976326E-02 4.161353409E-02 8.488316637E-01
 8.502042294E-02 3.931964561E-02 8.353349140E-01
 7.326725125E-02 3.668178245E-02 8.231904665E-01
 6.330829114E-02 3.425767645E-02 8.106161468E-01
 5.342551693E-02 3.162868321E-02 7.893851741E-01
 4.465940967E-02 2.910177782E-02 7.760893763E-01
 3.719711676E-02 2.674663253E-02 7.593121105E-01
 3.061327897E-02 2.447218634E-02 7.384114697E-01
 2.490021847E-02 2.231908403E-02 7.218423033E-01
 2.081129514E-02 2.063634060E-02 7.035810125E-01
 1.692826860E-02 1.889789104E-02 6.826704965E-01
 1.394239068E-02 1.744656637E-02 6.606030218E-01
 1.119260117E-02 1.598437876E-02 6.383164026E-01
 9.170388803E-03 1.482093986E-02 6.182360230E-01
 7.397572510E-03 1.371615939E-02 5.977560293E-01
 5.737900268E-03 1.258359384E-02 5.653419842E-01
 3.550838679E-03 1.090441458E-02 5.189915375E-01
 1.676736283E-03 9.188903496E-03 4.650049769E-01
 1.310687512E-04 7.425216492E-03 3.766784236E-01
 -1.350171398E-03 4.977324512E-03 2.487845900E-01
 -1.975309569E-03 3.105369862E-03 1.236415674E-01
 -2.153199632E-03 1.620817115E-03 1.837040203E-03
 -2.037701197E-03 1.937858724E-05 1.212951140E-01
 -1.584645361E-03 -1.629747916E-03 2.370005411E-01
 -6.134575815E-04 -3.596168477E-03 3.517616786E-01
 8.652522811E-04 -5.611203611E-03 4.502784832E-01
 2.885026857E-03 -7.680554874E-03 5.303292197E-01
 4.719304387E-03 -9.210212156E-03 5.848402073E-01
 6.829452235E-03 -1.073727477E-02 6.261243771E-01
 8.494945243E-03 -1.181056071E-02 6.580709936E-01
 1.059236191E-02 -1.304311771E-02 6.793572218E-01
 1.298226323E-02 -1.432153117E-02 7.015436633E-01
 1.630739495E-02 -1.593178883E-02 7.258104723E-01
 1.929941401E-02 -1.724630035E-02 7.471473471E-01
 2.319059893E-02 -1.880996674E-02 7.618488394E-01
 2.857205644E-02 -2.075851895E-02 7.784873857E-01
 3.441746160E-02 -2.266385593E-02 7.946585966E-01
 4.164273292E-02 -2.478767559E-02 8.081689660E-01
 4.928484187E-02 -2.681224048E-02 8.173245197E-01
 5.847166479E-02 -2.902282402E-02 8.247068205E-01
 6.741147488E-02 -3.099481389E-02 8.348264468E-01
 7.767363638E-02 -3.306673467E-02 8.414950290E-01
 8.783703297E-02 -3.496961668E-02 8.479759081E-01
 9.831701964E-02 -3.679477796E-02 8.539036295E-01
 1.094880998E-01 -3.861566633E-02 8.608191348E-01
 1.208184510E-01 -4.033880681E-02 8.672135971E-01
 1.325922310E-01 -4.201243445E-02 8.721864724E-01
 1.434049904E-01 -4.346248507E-02 8.784215752E-01
 1.546364725E-01 -4.488603771E-02 8.847086071E-01
 1.669324785E-01 -4.634844884E-02 8.909421234E-01
 1.786439270E-01 -4.765801504E-02 8.984699182E-01
 1.905858815E-01 -4.890513793E-02 9.041601239E-01
 2.013005763E-01 -4.996254668E-02 9.124736372E-01
 2.126786560E-01 -5.100535974E-02 9.184110970E-01
 2.249720842E-01 -5.205113068E-02 9.249002083E-01
 2.375516444E-01 -5.303885043E-02 9.334635108E-01
 2.497398704E-01 -5.390966684E-02 9.418179016E-01
 2.621594667E-01 -5.471013859E-02 9.502622438E-01
 2.732554972E-01 -5.535172671E-02 9.607666104E-01
 2.859705389E-01 -5.598830804E-02 9.697356418E-01
 2.983519435E-01 -5.649734661E-02 9.762018127E-01
 3.108876646E-01 -5.691234022E-02 9.809502403E-01
 3.226347268E-01 -5.721736327E-02 9.908062273E-01
 3.350290060E-01 -5.742814764E-02 9.990034548E-01
 3.457543552E-01 -5.751638114E-02 1.004650233E+00
 3.571913540E-01 -5.751923844E-02 1.008851208E+00
 3.680267930E-01 -5.742013454E-02 1.011276672E+00
 3.787567317E-01 -5.721763149E-02 1.002471821E+00
 3.902719319E-01 -5.691033229E-02 9.938410338E-01
 4.033410549E-01 -5.643950775E-02 9.904416154E-01
 4.155530035E-01 -5.584571138E-02 9.763739229E-01
 4.285564423E-01 -5.509295315E-02 9.597485883E-01
 4.411643744E-01 -5.424584821E-02 9.496704573E-01
 4.533176422E-01 -5.330281332E-02 9.356801941E-01
 4.651785493E-01 -5.226336420E-02 9.171163667E-01
 4.774056375E-01 -5.109884590E-02 9.013072056E-01
 4.889491200E-01 -4.991373047E-02 8.862689753E-01
 5.014552474E-01 -4.855568334E-02 8.717307888E-01
 5.154013634E-01 -4.693874344E-02 8.545476147E-01
 5.289363265E-01 -4.528817907E-02 8.391590293E-01
 5.421326160E-01 -4.359665886E-02 8.218088941E-01
 5.550944209E-01 -4.191603512E-02 8.109731598E-01
 5.683519840E-01 -4.012434185E-02 7.951642312E-01
 5.816255212E-01 -3.832434118E-02 7.848104002E-01
 5.937332511E-01 -3.663975373E-02 7.722381260E-01
 6.062943339E-01 -3.489381820E-02 7.627062830E-01
 6.204258800E-01 -3.290182725E-02 7.504287419E-01
 6.348080635E-01 -3.088598512E-02 7.414352628E-01
 6.493871212E-01 -2.881105058E-02 7.287011073E-01
 6.624696851E-01 -2.698054537E-02 7.212875144E-01
 6.758093238E-01 -2.509464510E-02 7.101666533E-01
 6.884120107E-01 -2.335632034E-02 7.040348484E-01
 7.008289695E-01 -2.163433842E-02 6.947417259E-01
 7.153077126E-01 -1.966344193E-02 6.865204567E-01
 7.284119725E-01 -1.791176386E-02 6.794605468E-01
 7.404301763E-01 -1.633585803E-02 6.745851391E-01
 7.532428503E-01 -1.462746039E-02 6.624207877E-01
 7.654241323E-01 -1.306447294E-02 6.545711624E-01
 7.788551450E-01 -1.144074462E-02 6.515684227E-01
 7.906638384E-01 -1.001116168E-02 6.436956949E-01
 8.032849431E-01 -8.513555862E-03 6.343677681E-01
