TITLE     = "Visualization of the solution"
VARIABLES = "x"
"y"
"Pressure_Coefficient"
ZONE T="Zone"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=701, Elements=1187, ZONETYPE=FEQuadrilateral
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE )
 1.000274897E+00 5.190004595E-04 2.453478498E-01
 9.876426458E-01 2.994599519E-03 2.141899629E-01
 9.756796956E-01 5.448905751E-03 1.243048093E-01
 9.601409435E-01 8.470832370E-03 8.182621739E-02
 9.460747838E-01 1.127335988E-02 2.732641397E-02
 9.327577353E-01 1.394001581E-02 -9.196214032E-03
 9.211849570E-01 1.618375815E-02 -4.425028176E-02
 9.094899297E-01 1.845990308E-02 -6.884166016E-02
 8.976281285E-01 2.064351179E-02 -1.020283687E-01
 8.860985637E-01 2.282295935E-02 -1.330390762E-01
 8.738759756E-01 2.496120334E-02 -1.414488072E-01
 8.616912961E-01 2.705040202E-02 -1.686207298E-01
 8.495997787E-01 2.914073132E-02 -1.870475393E-01
 8.382357955E-01 3.096046485E-02 -1.972989151E-01
 8.267384768E-01 3.281198442E-02 -2.152115434E-01
 8.140618801E-01 3.478021920E-02 -2.300394002E-01
 8.012393117E-01 3.673026338E-02 -2.438654934E-01
 7.888201475E-01 3.855608404E-02 -2.558271479E-01
 7.763004303E-01 4.037144780E-02 -2.697201761E-01
 7.644773126E-01 4.203979671E-02 -2.841309346E-01
 7.513921857E-01 4.386309534E-02 -3.017768743E-01
 7.375742793E-01 4.572124779E-02 -3.171848489E-01
 7.266697884E-01 4.713788629E-02 -3.303555923E-01
 7.154226899E-01 4.856979474E-02 -3.437635693E-01
 7.035530210E-01 5.002405494E-02 -3.511922528E-01
 6.899745464E-01 5.162977055E-02 -3.686771590E-01
 6.770010591E-01 5.315491185E-02 -3.861675290E-01
 6.663788557E-01 5.431873351E-02 -3.993521526E-01
 6.547806263E-01 5.557108298E-02 -4.117386565E-01
 6.430580616E-01 5.674788728E-02 -4.209802747E-01
 6.310037374E-01 5.792912096E-02 -4.359541396E-01
 6.194049716E-01 5.900174379E-02 -4.468188223E-01
 6.086108685E-01 5.994546041E-02 -4.555259606E-01
 5.960010886E-01 6.098163873E-02 -4.692775749E-01
 5.843275785E-01 6.189525872E-02 -4.770597691E-01
 5.707029700E-01 6.284686923E-02 -4.865574648E-01
 5.581592917E-01 6.366955489E-02 -4.952289489E-01
 5.454862714E-01 6.439874321E-02 -5.008187396E-01
 5.342879295E-01 6.498712301E-02 -5.072019733E-01
 5.224018693E-01 6.554315984E-02 -5.089929509E-01
 5.098117590E-01 6.604898721E-02 -5.146665215E-01
 4.987183809E-01 6.644822657E-02 -5.171959122E-01
 4.854153097E-01 6.682401896E-02 -5.181864100E-01
 4.721845090E-01 6.712074578E-02 -5.168601025E-01
 4.581544101E-01 6.733167171E-02 -5.141356757E-01
 4.445232153E-01 6.745927036E-02 -5.147734996E-01
 4.317572117E-01 6.751044095E-02 -5.136031773E-01
 4.187183380E-01 6.747807562E-02 -5.129775298E-01
 4.064194858E-01 6.738354266E-02 -5.088694429E-01
 3.938626349E-01 6.720482558E-02 -5.064129519E-01
 3.817627728E-01 6.698501855E-02 -5.068629586E-01
 3.700223565E-01 6.670136750E-02 -5.033390008E-01
 3.567055464E-01 6.629928946E-02 -4.966077677E-01
 3.440883458E-01 6.583757699E-02 -4.906674271E-01
 3.313013613E-01 6.532580405E-02 -4.927009180E-01
 3.204931021E-01 6.483235955E-02 -4.874194727E-01
 3.078553379E-01 6.416958570E-02 -4.819645574E-01
 2.947412133E-01 6.341852248E-02 -4.749363413E-01
 2.809726894E-01 6.253328174E-02 -4.698601006E-01
 2.686832547E-01 6.168234721E-02 -4.671689061E-01
 2.568361461E-01 6.078314036E-02 -4.605475714E-01
 2.444107383E-01 5.976303294E-02 -4.529112493E-01
 2.321070731E-01 5.867990479E-02 -4.481177618E-01
 2.199361920E-01 5.752858892E-02 -4.422339699E-01
 2.081467807E-01 5.632737279E-02 -4.331386928E-01
 1.965695769E-01 5.507212877E-02 -4.243975656E-01
 1.843534559E-01 5.366823077E-02 -4.172866841E-01
 1.725799888E-01 5.222180858E-02 -4.100302474E-01
 1.612414420E-01 5.074624345E-02 -4.004902551E-01
 1.494925022E-01 4.912241921E-02 -3.938729545E-01
 1.388642937E-01 4.755750299E-02 -3.859193610E-01
 1.273793578E-01 4.575638846E-02 -3.718032278E-01
 1.161627024E-01 4.388486966E-02 -3.608028078E-01
 1.056004465E-01 4.202410206E-02 -3.526839694E-01
 9.583581984E-02 4.018395767E-02 -3.370756243E-01
 8.481827378E-02 3.796488419E-02 -3.203545435E-01
 7.317216694E-02 3.543183953E-02 -3.038383780E-01
 6.324400753E-02 3.308793902E-02 -2.829795408E-01
 5.345385149E-02 3.058034927E-02 -2.616817275E-01
 4.472128674E-02 2.814376540E-02 -2.413546266E-01
 3.712697700E-02 2.582584508E-02 -2.145985893E-01
 3.043549322E-02 2.359378338E-02 -1.916757197E-01
 2.476454340E-02 2.150793746E-02 -1.589856360E-01
 2.065288648E-02 1.985061727E-02 -1.382947134E-01
 1.675011776E-02 1.814386994E-02 -7.241899076E-02
 1.378346700E-02 1.672412083E-02 -2.458312081E-02
 1.105980389E-02 1.529934350E-02 -1.257641627E-02
 9.052323177E-03 1.415170263E-02 2.596226772E-02
 7.282150909E-03 1.305348706E-02 2.957180116E-03
 5.640511867E-03 1.193635352E-02 7.367227444E-02
 3.496990306E-03 1.027018297E-02 2.734087990E-01
 1.689731493E-03 8.586521260E-03 3.498930982E-01
 2.084881562E-04 6.840793416E-03 5.079157489E-01
 -1.192812924E-03 4.446983337E-03 6.806194655E-01
 -1.782429754E-03 2.589766635E-03 9.778556592E-01
 -1.950885169E-03 1.093293540E-03 1.171435589E+00
 -1.830440131E-03 -5.768057308E-04 1.051677153E+00
 -1.365927397E-03 -2.330126707E-03 1.005429425E+00
 -3.746195871E-04 -4.420627374E-03 1.021392048E+00
 1.129826764E-03 -6.577895954E-03 6.159087939E-01
 3.182222368E-03 -8.810174651E-03 5.897527542E-01
 5.038220901E-03 -1.047008391E-02 3.930201227E-01
 7.196387742E-03 -1.214091294E-02 3.465922704E-01
 8.884060197E-03 -1.331613772E-02 2.379102086E-01
 1.099523064E-02 -1.465551369E-02 1.823535803E-01
 1.339927595E-02 -1.605142280E-02 1.539365205E-01
 1.672348566E-02 -1.779895276E-02 1.021363603E-01
 1.977889985E-02 -1.926002838E-02 5.131711238E-02
 2.373044752E-02 -2.098457143E-02 2.280122455E-02
 2.907704189E-02 -2.309213206E-02 -3.950802171E-02
 3.478780389E-02 -2.512696572E-02 -8.724341533E-02
 4.181778803E-02 -2.738159150E-02 -1.354018239E-01
 4.936023429E-02 -2.956809290E-02 -1.589734338E-01
 5.819741264E-02 -3.188892454E-02 -1.874724603E-01
 6.690103561E-02 -3.397672996E-02 -2.034583075E-01
 7.713372260E-02 -3.623065725E-02 -2.221661887E-01
 8.704476804E-02 -3.823755682E-02 -2.381548555E-01
 9.727718681E-02 -4.016605020E-02 -2.513509234E-01
 1.082830206E-01 -4.208535329E-02 -2.637474293E-01
 1.194650307E-01 -4.390854761E-02 -2.746728456E-01
 1.310998350E-01 -4.567739367E-02 -2.866428862E-01
 1.416729987E-01 -4.718595743E-02 -2.970219768E-01
 1.529493779E-01 -4.870317876E-02 -3.067386061E-01
 1.650891453E-01 -5.022733286E-02 -3.170713698E-01
 1.767591536E-01 -5.160102993E-02 -3.290954471E-01
 1.886284202E-01 -5.290864781E-02 -3.409073653E-01
 1.993886083E-01 -5.401692912E-02 -3.499169099E-01
 2.107459903E-01 -5.509667099E-02 -3.571933679E-01
 2.230351567E-01 -5.618802458E-02 -3.673405278E-01
 2.354779094E-01 -5.720330402E-02 -3.824403600E-01
 2.478117794E-01 -5.810183287E-02 -3.938419088E-01
 2.602857351E-01 -5.892364681E-02 -4.019822022E-01
 2.713647187E-01 -5.956032500E-02 -4.117354428E-01
 2.839404345E-01 -6.018674746E-02 -4.174570138E-01
 2.965249419E-01 -6.071814150E-02 -4.253206660E-01
 3.092965186E-01 -6.115805358E-02 -4.373806287E-01
 3.209631145E-01 -6.143051758E-02 -4.451100080E-01
 3.335818648E-01 -6.162410229E-02 -4.462772092E-01
 3.443213999E-01 -6.169100478E-02 -4.512954838E-01
 3.558487296E-01 -6.167531013E-02 -4.546091506E-01
 3.667514026E-01 -6.152913719E-02 -4.570438785E-01
 3.775994778E-01 -6.130899861E-02 -4.485196129E-01
 3.891091943E-01 -6.095582992E-02 -4.434002647E-01
 4.022611082E-01 -6.042417139E-02 -4.316639962E-01
 4.145241380E-01 -5.979746580E-02 -4.230095530E-01
 4.274226427E-01 -5.899481475E-02 -4.088220782E-01
 4.400758743E-01 -5.807859451E-02 -3.908746387E-01
 4.523868263E-01 -5.706454813E-02 -3.722137176E-01
 4.643556178E-01 -5.597414076E-02 -3.514077580E-01
 4.767579138E-01 -5.471805856E-02 -3.266296435E-01
 4.883818626E-01 -5.346767977E-02 -3.008829069E-01
 5.010342598E-01 -5.202837288E-02 -2.774309114E-01
 5.148256421E-01 -5.034555495E-02 -2.472901927E-01
 5.282216072E-01 -4.861120880E-02 -2.156085150E-01
 5.413427353E-01 -4.688015208E-02 -1.871719072E-01
 5.544331670E-01 -4.509134591E-02 -1.631706114E-01
 5.677334666E-01 -4.322037101E-02 -1.351957263E-01
 5.809160471E-01 -4.133761302E-02 -1.086318839E-01
 5.934439301E-01 -3.954767063E-02 -8.788078152E-02
 6.060127020E-01 -3.769107908E-02 -6.468094863E-02
 6.200331450E-01 -3.562840447E-02 -3.861093774E-02
 6.343083382E-01 -3.351961076E-02 -1.607985490E-02
 6.489282846E-01 -3.138449043E-02 4.587290342E-03
 6.620117426E-01 -2.946085297E-02 2.399601078E-02
 6.754657626E-01 -2.747589163E-02 4.386161891E-02
 6.879947186E-01 -2.563818358E-02 6.493294755E-02
 7.005299330E-01 -2.385676838E-02 8.029250947E-02
 7.150377035E-01 -2.177808248E-02 9.627412255E-02
 7.280634642E-01 -1.991966553E-02 1.188778711E-01
 7.400062680E-01 -1.828311570E-02 1.365682388E-01
